Code,Year,Production
CHN,2024,4653000
CHN,2025,4666959
CHN,2026,4708961.631
CHN,2027,4751342.286
IND,2024,1099000
IND,2025,1153950
IND,2026,1211648
IND,2027,1269000
IDN,2024,805000
IDN,2025,780333
IDN,2026,819350
IDN,2027,731000
THA,2024,"12,000"
THA,2025,"12,000"
THA,2026,"12,000"
THA,2027,"12,000"
VNM,2024,48179
VNM,2025,48179
VNM,2026,48179
VNM,2027,48179
LAO,2024,16000
LAO,2025,17600
LAO,2026,19360
LAO,2027,21296
PHL,2024,16000
PHL,2025,16000
PHL,2026,16000
PHL,2027,16000
AUS,2024,458000
AUS,2025,446333
AUS,2026,434964
AUS,2027,423000
USA,2024,463000
USA,2025,443050
USA,2026,423959
USA,2027,410000
COL,2024,61000
COL,2025,60350
COL,2026,59650
COL,2027,59050
CAN,2024,47900
CAN,2025,43433.33333
CAN,2026,39383.18256
CAN,2027,34500
DEU,2023,102000
DEU,2024,88740
DEU,2025,85180.55409
DEU,2026,81763.88095
DEU,2027,78061.66228
POL,2023,92000
POL,2024,80040
POL,2025,78439.2
POL,2026,77654.808
POL,2027,72995.51952
BGR,2023,20000
BGR,2024,17400
BGR,2025,16530
BGR,2026,16364.7
BGR,2027,15382.818
CZE,2023,30000
CZE,2024,26100
CZE,2025,25317
CZE,2026,25063.83
CZE,2027,23560.0002
ZAF,2024,234000
ZAF,2025,234000
ZAF,2026,234000
ZAF,2027,234000
ZWE,2024,4386
ZWE,2025,5136
ZWE,2026,5886
ZWE,2027,5886
MOZ,2024,11665
MOZ,2025,13165
MOZ,2026,14665
MOZ,2027,14665
ZMB,2024,2305
ZMB,2025,2305
ZMB,2026,2305
ZMB,2027,2305
ETH,2024,456
ETH,2025,456
ETH,2026,456
ETH,2027,456
TZA,2024,2581
TZA,2025,2581
TZA,2026,2581
TZA,2027,2581
