Category,Year,Ch4 Kt,Country
1.B.1.a Coal Mining and Handling,Base year,871.21,Australia
1.B.1.a Coal Mining and Handling,Base year,871.21,Australia
1.B.1.a Coal Mining and Handling,Base year,871.21,Australia
1.B.1.a Coal Mining and Handling,1990,871.21,Australia
1.B.1.a Coal Mining and Handling,1990,871.21,Australia
1.B.1.a Coal Mining and Handling,1990,871.21,Australia
1.B.1.a Coal Mining and Handling,1991,885.67,Australia
1.B.1.a Coal Mining and Handling,1991,885.67,Australia
1.B.1.a Coal Mining and Handling,1991,885.67,Australia
1.B.1.a Coal Mining and Handling,1992,923.41,Australia
1.B.1.a Coal Mining and Handling,1992,923.41,Australia
1.B.1.a Coal Mining and Handling,1992,923.41,Australia
1.B.1.a Coal Mining and Handling,1993,930.1,Australia
1.B.1.a Coal Mining and Handling,1993,930.1,Australia
1.B.1.a Coal Mining and Handling,1993,930.1,Australia
1.B.1.a Coal Mining and Handling,1994,856.22,Australia
1.B.1.a Coal Mining and Handling,1994,856.22,Australia
1.B.1.a Coal Mining and Handling,1994,856.22,Australia
1.B.1.a Coal Mining and Handling,1995,857.12,Australia
1.B.1.a Coal Mining and Handling,1995,857.12,Australia
1.B.1.a Coal Mining and Handling,1995,857.12,Australia
1.B.1.a Coal Mining and Handling,1996,876.48,Australia
1.B.1.a Coal Mining and Handling,1996,876.48,Australia
1.B.1.a Coal Mining and Handling,1996,876.48,Australia
1.B.1.a Coal Mining and Handling,1997,973.63,Australia
1.B.1.a Coal Mining and Handling,1997,973.63,Australia
1.B.1.a Coal Mining and Handling,1997,973.63,Australia
1.B.1.a Coal Mining and Handling,1998,"1,013.89",Australia
1.B.1.a Coal Mining and Handling,1998,"1,013.89",Australia
1.B.1.a Coal Mining and Handling,1998,"1,013.89",Australia
1.B.1.a Coal Mining and Handling,1999,943.97,Australia
1.B.1.a Coal Mining and Handling,1999,943.97,Australia
1.B.1.a Coal Mining and Handling,1999,943.97,Australia
1.B.1.a Coal Mining and Handling,2000,"1,016.47",Australia
1.B.1.a Coal Mining and Handling,2000,"1,016.47",Australia
1.B.1.a Coal Mining and Handling,2000,"1,016.47",Australia
1.B.1.a Coal Mining and Handling,2001,"1,006.6",Australia
1.B.1.a Coal Mining and Handling,2001,"1,006.6",Australia
1.B.1.a Coal Mining and Handling,2001,"1,006.6",Australia
1.B.1.a Coal Mining and Handling,2002,982.83,Australia
1.B.1.a Coal Mining and Handling,2002,982.83,Australia
1.B.1.a Coal Mining and Handling,2002,982.83,Australia
1.B.1.a Coal Mining and Handling,2003,970.68,Australia
1.B.1.a Coal Mining and Handling,2003,970.68,Australia
1.B.1.a Coal Mining and Handling,2003,970.68,Australia
1.B.1.a Coal Mining and Handling,2004,990.1,Australia
1.B.1.a Coal Mining and Handling,2004,990.1,Australia
1.B.1.a Coal Mining and Handling,2004,990.1,Australia
1.B.1.a Coal Mining and Handling,2005,"1,068.16",Australia
1.B.1.a Coal Mining and Handling,2005,"1,068.16",Australia
1.B.1.a Coal Mining and Handling,2005,"1,068.16",Australia
1.B.1.a Coal Mining and Handling,2006,"1,099.88",Australia
1.B.1.a Coal Mining and Handling,2006,"1,099.88",Australia
1.B.1.a Coal Mining and Handling,2006,"1,099.88",Australia
1.B.1.a Coal Mining and Handling,2007,"1,192.6",Australia
1.B.1.a Coal Mining and Handling,2007,"1,192.6",Australia
1.B.1.a Coal Mining and Handling,2007,"1,192.6",Australia
1.B.1.a Coal Mining and Handling,2008,"1,163.19",Australia
1.B.1.a Coal Mining and Handling,2008,"1,163.19",Australia
1.B.1.a Coal Mining and Handling,2008,"1,163.19",Australia
1.B.1.a Coal Mining and Handling,2009,"1,138.64",Australia
1.B.1.a Coal Mining and Handling,2009,"1,138.64",Australia
1.B.1.a Coal Mining and Handling,2009,"1,138.64",Australia
1.B.1.a Coal Mining and Handling,2010,"1,101.17",Australia
1.B.1.a Coal Mining and Handling,2010,"1,101.17",Australia
1.B.1.a Coal Mining and Handling,2010,"1,101.17",Australia
1.B.1.a Coal Mining and Handling,2011,"1,069.84",Australia
1.B.1.a Coal Mining and Handling,2011,"1,069.84",Australia
1.B.1.a Coal Mining and Handling,2011,"1,069.84",Australia
1.B.1.a Coal Mining and Handling,2012,"1,070.8",Australia
