,Country,Code,EU Member,GMP,APAC,OECD,AME,G20,G7
0,Albania,ALB,0,1,0,0,0,0,0
1,Algeria,DZA,0,0,0,0,1,0,0
2,Andorra,AND,0,1,0,0,0,0,0
3,Angola,AGO,0,1,0,0,1,0,0
4,Antigua and Barbuda,ATG,0,1,0,0,0,0,0
5,Argentina,ARG,0,1,0,0,0,1,0
6,Armenia,ARM,0,1,0,0,0,0,0
7,Australia,AUS,0,1,1,1,0,1,0
8,Austria,AUT,1,1,0,1,0,0,0
9,Azerbaijan,AZE,0,1,0,0,0,0,0
10,Bahrain,BHR,0,1,0,0,1,0,0
11,Bangladesh,BGD,0,1,1,0,0,0,0
12,Barbados,BRB,0,1,0,0,0,0,0
13,Belarus,BLR,0,0,0,0,0,0,0
14,Belgium,BEL,1,1,0,1,0,0,0
15,Belize,BLZ,0,1,0,0,0,0,0
16,Benin,BEN,0,1,0,0,1,0,0
17,Bhutan,BTN,0,0,1,0,0,0,0
18,Bosnia and Herzegovina,BIH,0,1,0,0,0,0,0
19,Botswana,BWA,0,0,0,0,1,0,0
20,Brazil,BRA,0,1,0,0,0,1,0
21,Brunei,BRN,0,0,1,0,0,0,0
22,Bulgaria,BGR,1,1,0,0,0,0,0
23,Burkina Faso,BFA,0,1,0,0,1,0,0
24,Burundi,BDI,0,0,0,0,1,0,0
25,Cabo Verde,CPV,0,1,0,0,1,0,0
26,Cambodia,KHM,0,1,1,0,0,0,0
27,Cameroon,CMR,0,1,0,0,1,0,0
28,Canada,CAN,0,1,0,1,0,1,1
29,Central African Republic,CAF,0,1,0,0,1,0,0
30,Chad,TCD,0,1,0,0,1,0,0
31,Chile,CHL,0,1,0,1,0,0,0
32,China,CHN,0,0,1,0,0,1,0
33,Colombia,COL,0,1,0,1,0,0,0
34,Comoros,COM,0,1,0,0,1,0,0
35,"Congo, Democratic Republic of the",COD,0,1,0,0,1,0,0
36,"Congo, Republic of the",COG,0,1,0,0,1,0,0
37,Cook Islands,COK,0,1,0,0,0,0,0
38,Costa Rica,CRI,0,1,0,1,0,0,0
39,Croatia,HRV,1,1,0,0,0,0,0
40,Cuba,CUB,0,1,0,0,0,0,0
41,Cyprus,CYP,1,1,0,0,0,0,0
42,Czechia,CZE,1,1,0,1,0,0,0
43,Côte d'Ivoire,CIV,0,1,0,0,0,0,0
44,Denmark,DNK,1,1,0,1,0,0,0
45,Djibouti,DJI,0,1,0,0,1,0,0
46,Dominica,DMA,0,1,0,0,0,0,0
47,Dominican Republic,DOM,0,1,0,0,0,0,0
48,Ecuador,ECU,0,1,0,0,0,0,0
49,Egypt,EGY,0,1,0,0,1,0,0
50,Egypt,EGY,0,1,0,0,1,0,0
51,El Salvador,SLV,0,1,0,0,0,0,0
52,Equatorial Guinea,GNQ,0,1,0,0,1,0,0
53,Eritrea,ERI,0,0,0,0,1,0,0
54,Estonia,EST,1,1,0,1,0,0,0
55,Eswatini,SWZ,0,1,0,0,1,0,0
56,Ethiopia,ETH,0,1,0,0,1,0,0
57,European Union,EU,0,1,0,0,0,0,0
58,European Union (Convention),EUR,1,0,0,0,0,0,0
59,Fiji,FJI,0,1,1,0,0,0,0
60,Finland,FIN,1,1,0,1,0,0,0
61,France,FRA,1,1,0,1,0,1,1
62,Gabon,GAB,0,1,0,0,1,0,0
63,Gambia,GMB,0,1,0,0,1,0,0
64,Georgia,GEO,0,1,0,0,0,0,0
65,Germany,DEU,1,1,0,1,0,1,1
66,Ghana,GHA,0,1,0,0,1,0,0
67,Greece,GRC,1,1,0,1,0,0,0
68,Grenada,GRD,0,1,0,0,0,0,0
69,Guatemala,GTM,0,1,0,0,0,0,0
