Country Name,Country Code,Unfccc Report,Oil And Gas Tropomi,Oil And Gas 95ci,Unfccc Report2,Coal Tropomi2,Coal 95ci,Unfccc 8
15000),#N/A,,,,,,,
Niger,NER,8,1,(0-1),<1,<1,(0-0),
Mozambique,MOZ,8,40,(5-100),180,130,(19-350),
Burkina Faso,BFA,37,22,(0-41),<1,<1,(0-0),1
Cote d'Ivoire,#N/A,820,260,(30-630),<1,<1,(0-0),1
Ethiopia,ETH,3,1,(0-1),<1,<1,(0-0),3
Pakistan,PAK,150,420,(140,35,66,(42-110),10
Uzbekistan,UZB,1900,1800,(1200,6,3,(2-5),11
Canada,CAN,1400,2200,(1600-2800),55,40,(36-64),11
Iran,IRN,3300,2900,(1800-4300),22,37,(29-43),12
Ukraine,UKR,1300,1100,(660,480,300,(55-720),12
Mexico,MEX,620,1300,(1100-1500),230,280,(230-320),32
India,IND,940,640,(390-870),880,1200,(990-1500),37
China,CHN,1200,2700,(1900-4100),21000,19000,(16000-23000),57
United States,USA,8100,13000,(10000,2100,2600,(2100-3100),88
Norway,NOR,14,160,(9-590),3,2,(1-3),0.1
Malaysia,MYS,980,990,(680-1400),2,7,(2-19),0.1
Afghanistan,AFG,7,5,(3-8),4,32,(4-95),0.1
Central African Republic,CAF,9,<1,(0-0),<1,<1,(0-0),0.1
Congo-Kinshasa,#N/A,220,230,(16-600),<1,<1,(0-0),0.1
Guyana,GUY,1,<1,(0-1),<1,<1,(0-0),0.1
Yemen,YEM,25,63,(10,<1,<1,(0-0),0.1
Spain,ESP,7,31,(7,1,2,(0-5),0.2
Chad,TCD,82,<1,(0-0),<1,<1,(0-1),0.2
Senegal,SEN,2,1,(0,<1,<1,(0-0),0.2
Botswana,BWA,9,2,(0-7),23,<1,(0-13),0.3
Tunisia,TUN,37,97,(30,<1,<1,(0-0),0.3
Finland,FIN,1,49,(1-160),<1,<1,(0-0),0.4
Sweden,SWE,1,6,(1,<1,<1,(0-0),0.4
Zambia,ZMB,1,1,(0,1,1,(0-1),0.5
Burma,MMR,11,81,(8-280),4,3,(1-4),0.5
Tanzania,TZA,7,24,(7,9,7,(3-10),0.5
Zimbabwe,ZWE,1,<1,(0,14,9,(2-22),0.5
Ghana,GHA,140,74,(23-150),<1,<1,(0-0),0.5
Guinea,GIN,26,17,(6-27),<1,<1,(0-0),0.5
Ecuador,ECU,38,52,(0-140),<1,<1,(0-0),0.6
Kenya,KEN,2,1,(0-2),<1,<1,(0-0),0.6
Mali,MLI,38,13,(0-40),<1,<1,(0-0),0.6
Turkey,TUR,110,130,(110,270,200,(120-280),0.6
Chile,CHL,43,10,(6-15),2,2,(2-2),0.7
Congo-Brazzaville,#N/A,11,12,(6-22),<1,<1,(0-0),0.7
Uganda,UGA,94,60,(0,<1,<1,(0-0),0.7
Mongolia,MNG,13,28,(4-98),50,43,(0-180),0.8
Cameroon,CMR,14,350,(4-1100),<1,1,(0-2),0.9
Brazil,BRA,180,150,(45-500),44,44,(44-44),1.1
Angola,AGO,980,910,(550-1400),<1,<1,(0-0),1.1
Argentina,ARG,360,410,(230-860),1,<1,(0-1),1.1
Morocco,MAR,39,46,(10-67),<1,<1,(0-0),1.1
Vietnam,VNM,460,290,(120,110,270,(68-540),1.1
Venezuela,VEN,1400,4000,(1300,38,100,(25-530),1.3
South Sudan,SSD,22,38,(1,<1,<1,(0-0),1.5
Belarus,BLR,35,27,(15-35),<1,<1,(0-0),1.6
Colombia,COL,270,500,(250-860),310,580,(130-2000),1.6
Libya,LBY,800,310,(0-560),<1,<1,(0-0),1.7
Oman,OMN,680,700,(120-1300),<1,<1,(0-0),1.7
Peru,PER,90,130,(45,11,11,(11-11),1.9
Russia,RUS,4100,9400,(4500,2700,2000,(1400-2900),140
France,FRA,44,100,(45-230),<1,<1,(0-1),2.9
Sudan,SDN,46,120,(45,<1,<1,(0-0),2.9
Turkmenistan,TKM,1500,3600,(2700,<1,<1,(0-0),3.3
Romania,ROU,110,310,(140,220,160,(14-400),3.3
Egypt,EGY,390,690,(360-1200),<1,<1,(0-0),3.4
Thailand,THA,510,410,(120,25,20,(11-29),3.5
United Kingdom,GBR,180,240,(180,19,16,(0-31),4.4
Poland,POL,130,250,(75,660,250,(53-600),4.6
Algeria,DZA,1100,2200,(1400-3300),<1,<1,(0-0),4.9
Indonesia,IDN,620,600,(380-930),200,750,(110-2700),5.1
Kazakhstan,KAZ,200,660,(270-1200),280,1300,(850-2000),5.2
global,#N/A,48000,63000,(51000-73000),33000,33000,(29000-38000),570
Iraq,IRQ,2900,1300,(150-2400),<1,<1,(0-0),6.1
Saudi Arabia,SAU,550,1500,(620,<1,<1,(0-0),6.1
South Africa,ZAF,69,56,(4,1200,610,(260-1000),6.6
Italy,ITA,160,180,(160-200),1,1,(0-2),7.4
Nigeria,NGA,3300,1500,(470-2900),<1,140,(0-530),7.9
Germany,DEU,190,200,(160-240),6,110,(6-280),8.1
Australia,AUS,330,340,(240-440),900,1600,(1100-2500),8.4
New Zealand,NZL,16,7,(7-7),7,7,(7-7),<0.1
Laos,LAO,12,7,(0-12),4,11,(1-39),<0.1
Japan,JPN,10,20,(19-22),31,27,(19-34),<0.1
Greece,GRC,5,29,(4-80),28,29,(25-33),<0.1
Philippines,PHL,14,58,(35,41,51,(40-74),<0.1
Bolivia,BOL,49,<1,(0-0),<1,<1,(0-0),<0.1
Cuba,CUB,110,<1,(0-0),<1,<1,(0-0),<0.1
French Polynesia,PYF,<1,<1,(0-0),<1,<1,(0-0),<0.1
Gabon,GAB,6,130,(6-440),<1,<1,(0-0),<0.1
Madagascar,MDG,57,<1,(0-0),<1,<1,(0-0),<0.1
Mauritania,MRT,13,<1,(0-0),<1,<1,(0-0),<0.1
Namibia,NAM,6,<1,(0-0),<1,<1,(0-0),<0.1
Papua New Guinea,PNG,30,<1,(0,<1,<1,(0-0),<0.1
Paraguay,PRY,2,<1,(0,<1,<1,(0-0),<0.1
Solomon Islands,SLB,1,<1,(0,<1,<1,(0-0),<0.1
Somalia,SOM,23,<1,(0,<1,<1,(0-0),<0.1
Uruguay,URY,<1,<1,(0,<1,<1,(0-0),<0.1
Western Sahara,ESH,2,<1,(0,<1,<1,(0-0),<0.1
