Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,None,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,None
Albania,None,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,None
Algeria,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
Argentina,None,11.7,,,,14.7,,,10.6,,,11,,,,,,,,,,2,,2.9,,,,,,,,None
Armenia,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
Azerbaijan,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
Bhutan,None,,,,,,,,,,,0,,,,,,,,,,,,,,,0.1,,,,,None
Bosnia and Herzegovina,None,76.1,,,,,,,,,,,,,,,,,,,,,,,35,29,,,,,,None
Botswana,None,,,,,12.1,,,,,,12.7,,,,,,,,,,,,,,,,,,,,None
Brazil,None,49.7,54.3,44.2,47,42.4,41.1,25.5,32.6,33,34,43.3,60,44,41,48,49.1,48.3,54.9,58.6,52.3,39.2,43.4,41,60.1,54.2,51.5,56.8,,,,None
Cameroon,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
Chile,None,34.2,,,,14.2,,,,,,5.3,,,,,,1.8,,,,2.8,,,6.5,,,5.5,,3.7,,None
China,None,,,,,7100,,,,,,,,,,,,,,,,22870,,23847,,21015,,,,,,None
Colombia,None,88.4,,,,94.9,,,,,,156.2,,,,219.9,,,,,,,,,,,,,,,,None
Cuba,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
Democratic People's Republic of Korea,None,819,,,,613,,,,,,311,,322,,,,,,,,,,,,,,,,,,None
Dominican Republic,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
Ecuador,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
Eritrea,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
Eswatini,None,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,None
Ethiopia,None,,,,,,,,,,,,,,,,,,,0.2,0.5,0.8,0.4,0.4,0.4,,,,,,,None
Gabon,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
