,Country,Code,UNFCCC,Year_UNFCCC,IEA (2022),IEA (2023),Shen et. al. (2018-2020)
0,Afghanistan,AFG,2.0,2013,,,32
1,Angola,AGO,,,,,<1
2,Albania,ALB,0.0,2005,,,
3,United Arab Emirates,ARE,,,0.89200001955032,0.8600000143051,
4,Argentina,ARG,2.9,2012,0.06,0.06,<1
5,Armenia,ARM,,,,,
6,Australia,AUS,1003.56,2020,1673.47,1668.0,1600
7,Austria,AUT,674.01,2020,,,
8,Azerbaijan,AZE,,,,,
9,Belgium,BEL,0.37,1995,,,
10,Benin,BEN,,,0.02800000086,0.03,
11,Burkina Faso,BFA,,,,,<1
12,Bangladesh,BGD,,,0.712000012,0.97000002861023,
13,Bulgaria,BGR,1.58,2021,,,
14,Bosnia and Herzegovina,BIH,29.0,2014,,,
15,Belarus,BLR,329.55,2020,,,<1
16,Bolivia,BOL,,,0.00400000019,0.0,<1
17,Brazil,BRA,56.8,2016,16.060000000000002,11.799999999999999,44
18,Brunei,BRN,,,0.0240000002086,0.02,
19,Bhutan,BTN,0.1,2015,,,
20,Botswana,BWA,12.7,2000,0.084,0.0900000036,<1
21,Central African Republic,CAF,,,,,<1
22,Canada,CAN,6.83,2021,72.53999999999999,92.97000000000001,40
23,Switzerland,CHE,,,,,
24,Chile,CHL,3.7,2018,,,2
25,China,CHN,21015.0,2014,21029.38,19370.06,19000
26,Cameroon,CMR,,,,,1
27,Colombia,COL,219.9,2004,384.22,399.82000000000005,580
28,Cuba,CUB,,,,0.0,<1
29,Cyprus,CYP,0.21,1999,,,
30,Czechia,CZE,,,,,
31,Germany,DEU,0.05,2021,39.495122397248025,30.94,110
32,Denmark,DNK,25.83,2021,0.1560000032186507,0.13,
33,Dominican Republic,DOM,,,,,
34,Algeria,DZA,,,0.00400000019,0.02,<1
35,Ecuador,ECU,,,,,<1
36,Egypt,EGY,,,0.5,0.8600000143051,<1
37,Eritrea,ERI,,,,,
38,Western Sahara,ESH,,,,,<1
39,Spain,ESP,7.14,2021,,,2
40,Estonia,EST,,,0.07199999690056,0.06,
41,Ethiopia,ETH,0.4,2013,0.20000000298023,0.10000000149012,<1
42,European Union (Convention),EUR,138.86,2021,,,
43,Finland,FIN,768.77,2021,,,<1
44,France,FRA,,,1.06,1.61,<1
