sensor,sector,country,date,emission rate (kg/h),uncertainty (kg/h),latitude,longitude,comments,platform
AVIRIS-NG,Oil and Gas,United States of America,10/09/2016,132.0,50.0,34.44705,-118.588342,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Oil and Gas,United States of America,10/09/2016,89.0,52.0,34.44705,-118.588342,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Oil and Gas,United States of America,10/09/2016,185.0,70.0,34.44705,-118.588342,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Waste,United States of America,10/09/2016,114.0,41.0,33.928061,-118.429593,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Electricity Generation (1A1),United States of America,10/09/2016,76.63094627288427,47.37821936199643,33.906,-118.4063,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Electricity Generation (1A1),United States of America,10/09/2016,49.0,16.0,33.905431,-118.406435,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Electricity Generation (1A1),United States of America,10/09/2016,54.0,27.0,33.776957,-118.28704,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Electricity Generation (1A1),United States of America,10/09/2016,22.0,9.0,33.804668,-118.243853,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Electricity Generation (1A1),United States of America,10/09/2016,64.0,40.0,33.81581,-118.246889,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Electricity Generation (1A1),United States of America,10/09/2016,132.70617784912855,79.06282770479535,33.77955056159947,-118.23506631822576,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Electricity Generation (1A1),United States of America,10/09/2016,75.11444230235095,45.969466455028005,33.81681033609821,-118.23457614582264,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Oil and Gas,United States of America,10/09/2016,207.0,87.0,33.972726,-117.699937,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Waste,United States of America,11/09/2016,27.54443325380038,13.959977007684016,34.594817249486134,-117.26760425409398,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Waste,United States of America,11/09/2016,67.74305530428312,22.850896711632007,34.59458367956279,-117.26822985469276,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Waste,United States of America,11/09/2016,66.15785590485191,20.172333459806083,34.591648,-117.267149,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Waste,United States of America,11/09/2016,351.2717389378652,71.9598272934763,34.33072282026402,-118.51335704357534,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Oil and Gas,United States of America,12/09/2016,138.0,52.0,34.44705,-118.588342,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,125.0,20.0,35.185084,-119.102055,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,620.0,133.0,35.200662,-119.052348,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,122.0,54.0,35.213923,-118.987962,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,114.0,11.0,35.175012,-119.124321,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,114.0,11.0,35.177653463279405,-119.12197597782637,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,327.0,89.0,35.200662,-119.052348,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,184.0,23.0,35.185952,-119.103418,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,559.0,197.0,35.203947,-119.198909,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,296.0,59.0,35.21433,-119.207404,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,275.0,40.0,35.214248,-119.209689,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,159.0,55.0,35.202447,-119.198758,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,,United States of America,12/09/2016,202.0,65.0,35.215206150307544,-119.21256721793142,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,347.0,111.0,35.214980565928215,-119.210899570068,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,301.0,79.0,35.243762,-119.157387,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,237.0,75.0,35.24630191654742,-119.14043697544172,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,188.0,48.0,35.251414,-119.157174,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,12/09/2016,192.0,51.0,35.901251,-119.319893,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Oil and Gas,United States of America,12/09/2016,350.0,106.0,34.44705,-118.588342,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Oil and Gas,United States of America,13/09/2016,188.0,30.0,34.901527,-117.159958,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,13/09/2016,18.787197230120505,12.93912387630393,35.9370572799129,-119.34800592051764,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,13/09/2016,25.184286975500505,12.199278565277968,35.945659509496735,-119.45874308458052,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,13/09/2016,24.0,14.0,35.95933,-119.372162,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,13/09/2016,101.7148686283738,38.596756545117714,35.97290053844705,-119.23814830290638,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,13/09/2016,54.15756380414114,23.00120805470616,35.99601637170581,-119.2209096529164,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,13/09/2016,91.6666777102032,34.86574351518196,35.9875024268005,-119.32650324311112,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,13/09/2016,173.0,86.0,35.972715,-119.359036,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,13/09/2016,44.174573329942106,17.859592321374674,35.971657279544885,-119.4401109775321,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
AVIRIS-NG,Livestock (4B),United States of America,13/09/2016,49.0,18.0,35.973887,-119.439128,Downloaded from https://data.carbonmapper.org/#1.81/30.8/50.5 on the 11032025. Cleaned using eda_carbon_mapper.ipynb,Carbon Mapper
