plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20170309t191857-C,34.32749942584966,-118.51688852687202,2017-03-09T19:18:57+00,Solid Waste (6A),CH4,mf,"[-118.52048373368561, 34.322627826417815, -118.51065472767327, 34.33078724553776]",ang,2024-03-01 21:18:18.144340+00:00,,,,,1869.9006982907008,881.9745493746592,2.91015625,1.1650390625,39.22702632800134,42.62098864454797,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t191857-D,34.326453,-118.511277,2017-03-09T19:18:57+00,Solid Waste (6A),CH4,mf,"[-118.51310053363494, 34.32344183597304, -118.50618939909707, 34.32914932441499]",ang,2023-05-14 20:21:18.050317+00:00,,,,,696.0,439.0,2.72,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t194008-B,35.5092066,-119.0361665,2017-03-09T19:40:08+00,Oil & Gas (1B2),CH4,mf,"[-119.03988654241513, 35.50709158714416, -119.03335127993039, 35.51236554082062]",ang,2023-05-14 20:21:18.075238+00:00,,,,,510.0,235.0,2.18,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t194008-C,35.53080583,-119.0736699,2017-03-09T19:40:08+00,Oil & Gas (1B2),CH4,mf,"[-119.07666289199639, 35.52894776882471, -119.07018232760882, 35.53426747958759]",ang,2023-05-14 20:21:18.075187+00:00,,,,,487.0,119.0,2.18,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t195546-A,35.48562803,-119.0610832,2017-03-09T19:55:46+00,Oil & Gas (1B2),CH4,mf,"[-119.06439520522974, 35.482846060458506, -119.05786211580076, 35.488165709485145]",ang,2023-05-14 20:21:18.066580+00:00,,,,,142.0,41.0,2.19,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t195546-B,35.48833416,-119.0676895,2017-03-09T19:55:46+00,Oil & Gas (1B2),CH4,mf,"[-119.07082115567134, 35.4857695525709, -119.06434417345923, 35.491043325254566]",ang,2023-05-14 20:21:18.066473+00:00,,,,,157.0,44.0,2.19,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t201212-A,36.103687,-119.451897,2017-03-09T20:12:12+00,Livestock (4B),CH4,mf,"[-119.45564354835332, 36.10091590992414, -119.44696479879288, 36.10797460131865]",ang,2023-05-14 20:23:24.213692+00:00,,,,,,,0.86,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-A,36.021558,-119.519462,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.52243859179784, 36.01922780627971, -119.51561865947492, 36.02469696548848]",ang,2023-05-14 20:21:18.073138+00:00,,,,,444.0,116.0,1.28,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-B,36.03213753199409,-119.51008454391155,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.51310878027058, 36.02888825925942, -119.50646139532536, 36.03431069607373]",ang,2024-03-01 21:18:17.810565+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20170309t202411-C,36.04392217,-119.4561613,2017-03-09T20:24:11+00,Livestock (4B),CH4,mf,"[-119.46061758920388, 36.04098793439458, -119.44951693110002, 36.04996337386673]",ang,2023-05-14 20:21:18.073087+00:00,,,,,548.0,170.0,1.28,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
