Country,% Coal Production with Favourable Conditions for Satellite Methane Monitoring
China,78.31
India,73.14
Indonesia,16.36
Australia,90.95
United States,77.65
Russia,54.03
South Africa,99.46
Kazakhstan,77.12
Germany,49.72
Poland,46.59
Mongolia,94.67
Colombia,50.01
Türkiye,27.13
Canada,20.57
Vietnam,7.98
Serbia,77.84
Czech Republic,26.34
Pakistan,66.67
Ukraine,63.22
Bulgaria,91.67
Mozambique,83.33
Laos,0
Romania,83.33
Thailand,0
Brazil,77.3
Bosnia and Herzegovina,65.12
Mexico,89.83
Greece,0
Kosovo,75
Uzbekistan,0
Hungary,75
North Macedonia,0
Botswana,100
Malaysia,8.33
Zimbabwe,91.67
Slovenia,0
Montenegro,0
Kyrgyzstan,0
