sensor,country,sector,date,emission rate (kg/h),uncertainty (kg/h),latitude,longitude,comments,platform
Sentinel-5P/TROPOMI - ESA,Pakistan,Waste,05/10/2023,0.0,,25.011,67.4258,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Kuwait,Oil and Gas,21/04/2019,1320.0,600.0,29.8835,47.6202,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,USA,Oil and Gas,04/10/2024,1780.0,800.0,39.7262,-97.3169,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Turkmenistan,Oil and Gas,01/04/2024,2130.0,960.0,38.46,65.0171,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Russia,Oil and Gas,15/09/2024,2820.0,1270.0,64.1585,68.2251,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Turkmenistan,Oil and Gas,01/01/2020,2850.0,1280.0,37.877,54.3844,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Saudi Arabia,Waste,01/12/2023,2860.0,1290.0,24.8509,46.9329,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Russia,Oil and Gas,14/10/2024,3140.0,1410.0,57.4198,57.1303,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Iran,Oil and Gas,05/03/2023,3250.0,1460.0,30.6592,49.9741,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Turkmenistan,Oil and Gas,19/04/2024,3460.0,1560.0,37.9853,63.5065,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Russia,Oil and Gas,14/10/2024,3460.0,1560.0,55.3955,56.515,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Australia,Coal,09/06/2024,3640.0,1640.0,-23.0658,148.6588,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Russia,Oil and Gas,15/09/2024,3650.0,1640.0,55.3495,45.6564,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,China,Coal,28/02/2024,3900.0,1760.0,44.0323,87.7135,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Turkmenistan,Oil and Gas,20/10/2024,3970.0,1790.0,38.4901,63.1542,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Russia,Oil and Gas,16/10/2024,4040.0,1820.0,54.6961,86.1273,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,China,Oil and Gas,13/10/2024,4040.0,1820.0,38.7894,79.9709,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Russia,Oil and Gas,05/08/2024,4220.0,1900.0,61.8113,113.8675,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Yemen,Oil and Gas,12/04/2024,4300.0,1940.0,15.6363,46.0128,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Russia,Coal,19/09/2024,4350.0,1960.0,54.6754,83.5263,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Canada,Oil and Gas,03/10/2019,4380.0,1970.0,57.4531,-121.1188,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
