country,number observations,median (kg/h),min (kg/h),max (kg/h),AVIRIS-NG,EMIT - NASA,EnMAP - DLR,Global Airborne Observatory,Landsat - NASA/USGS,PRISMA - ASI,Sentinel-2 - ESA,Sentinel-5P/TROPOMI - ESA,Carbon Mapper,IMEO MARS,Kayrros Methane Watch
Australia,173,6764.0,383.0,108950.0,0,80,15,0,1,2,0,75,6,84,83
Bangladesh,1,407710.0,407710.0,407710.0,0,0,0,0,0,0,0,1,0,0,1
Botswana,1,2213.61610130244,2213.61610130244,2213.61610130244,0,1,0,0,0,0,0,0,1,0,0
Canada,38,500.58992065,33.58391477,3131.97276,38,0,0,0,0,0,0,0,38,0,0
China,846,3695.0,184.56046330781592,265260.0,0,589,0,0,0,148,0,109,80,563,203
Colombia,11,1170.9052404019749,202.4953349656996,3686.6599288837137,5,6,0,0,0,0,0,0,7,0,4
Egypt,2,3013.0272764475003,2156.417530684664,3869.637022210336,0,2,0,0,0,0,0,0,2,0,0
India,132,36305.0,768.9987872079795,154950.0,0,1,0,0,0,0,0,131,1,1,130
Kazakhstan,68,12315.0,186.0,116620.0,0,29,0,0,0,0,0,39,0,29,39
Mexico,6,2894.162322842304,1330.0,4401.0,0,6,0,0,0,0,0,0,1,4,1
Mongolia,4,12645.0,6430.0,79820.0,0,0,0,0,0,0,0,4,0,0,4
Nepal,1,1390.0,1390.0,1390.0,0,1,0,0,0,0,0,0,0,0,1
Peru,3,7457.0,5075.0,13205.0,0,3,0,0,0,0,0,0,0,3,0
Poland,53,3813.0,656.0,114930.0,0,30,6,0,0,1,2,14,0,39,14
Russia,68,37740.0,4350.0,152750.0,0,0,0,0,0,0,0,68,0,0,68
Slovakia,1,18320.0,18320.0,18320.0,0,0,0,0,0,0,0,1,0,0,1
South Africa,43,39380.0,980.0,106790.0,0,3,0,0,0,0,0,40,0,0,43
USA,114,39600.0,280.0,222250.0,0,12,0,0,0,6,0,96,0,18,96
Ukraine,5,5348.0,4790.0,9340.0,0,4,0,0,0,0,0,1,0,4,1
United States of America,155,1948.483478,153.3493897,9697.235917,17,14,0,124,0,0,0,0,153,0,2
