GEM Mine ID,Country,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),GEM Wiki Page (Non-ENG),Status,Capacity (Mtpa),Opening Year,ROM or Saleable,"Coal Output (Annual, Mt) 2023",Output Accuracy,"Coal Output (Annual, Mt) 2022",Output Accuracy,"Coal Output (Annual, Mt) 2021",Output Accuracy,"Coal Output (Annual, Mt) 2020",Output Accuracy,"Coal Output (Annual, Mt) 2019",Output Accuracy,"Coal Output (Annual, Mt) 2018",Output Accuracy,"Coal Output (Annual, Mt) 2017",Output Accuracy
M1210,China,Tianan No. 8 Coal Mine,,???????????????,https://www.gem.wiki/%E5%B9%B3%E9%A1%B6%E5%B1%B1%E5%A4%A9%E5%AE%89%E7%85%A4%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%85%AB%E7%9F%BF,Operating,4.05,1981,ROM,3.57,Reported,3.48,Reported,3.06,Reported,4.10,Reported,4.05,Reported,3.71,Reported,3.60,Reported
M0388,China,Xieqiao Coal Mine,,??????????????????,https://www.gem.wiki/%E6%B7%AE%E5%8D%97%E7%9F%BF%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%B0%A2%E6%A1%A5%E7%85%A4%E7%9F%BF,Operating,9.6,1997,ROM,7.14,Estimated,7.95,Reported,9.11,Reported,9.03,Reported,8.07,Reported,1.56,Reported,1.34,Reported
M0394,China,Xinjulong Coal Mine,,????????????????????????,https://www.gem.wiki/%E5%B1%B1%E4%B8%9C%E6%96%B0%E5%B7%A8%E9%BE%99%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E6%96%B0%E5%B7%A8%E9%BE%99%E7%85%A4%E7%9F%BF%EF%BC%88%E9%BE%99%E5%A0%8C%E7%9F%BF%E4%BA%95%EF%BC%89,Operating,6,2009,ROM,4.46,Estimated,3.93,Reported,4.37,Reported,2.32,Reported,4.41,Estimated,5.30,Estimated,-,
M0407,China,Yeping Coal Mine,,??????????????,https://www.gem.wiki/%E9%99%95%E8%A5%BF%E7%BE%8E%E9%91%AB%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%86%B6%E5%9D%AA%E7%85%A4%E7%9F%BF,Operating,1.2,2021,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,-,,-,,-,,-,
M1143,China,Huolinhe North Surface Mine No. 3,???????????????? ?????????,??????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E9%9C%8D%E6%9E%97%E6%B2%B3%E9%9C%B2%E5%A4%A9%E7%85%A4%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%8C%97%E9%9C%B2%E5%A4%A9%E7%9F%BF,Operating,10,1992,ROM,7.44,Estimated,7.49,Estimated,7.45,Estimated,6.98,Estimated,7.06,Estimated,7.06,Estimated,9.99,Reported
M2234,China,Xinlong Coal Mine,,????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%90%95%E6%A2%81%E4%B8%AD%E9%98%B3%E6%A1%83%E5%9B%AD%E9%91%AB%E9%9A%86%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.5,1998,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,1.06,Estimated,-,
M0379,China,Wuju Coal Mine,,??????????????,https://www.gem.wiki/%E5%B9%B3%E5%87%89%E4%BA%94%E4%B8%BE%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%BA%94%E4%B8%BE%E7%85%A4%E7%9F%BF,Operating,3,2024,ROM,-,,-,,-,,-,,-,,-,,-,
M1427,China,Xianquan Coal Mine,,????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%99%8B%E7%85%A4%E9%9B%86%E5%9B%A2%E9%95%BF%E6%B2%BB%E4%BB%99%E6%B3%89%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.2,2018,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M0399,China,Xizhuo Coal Mine,,????????????????,https://www.gem.wiki/%E9%99%95%E8%A5%BF%E9%99%95%E7%85%A4%E6%BE%84%E5%90%88%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%A5%BF%E5%8D%93%E7%85%A4%E7%9F%BF,Operating,5,2023,ROM,3.72,Estimated,-,,-,,-,,-,,-,,-,
M3200,China,Xunyi County Songjiagou Coal Mine,,????????,https://www.gem.wiki/%E6%97%AC%E9%82%91%E5%8E%BF%E5%AE%8B%E5%AE%B6%E6%B2%9F%E7%85%A4%E7%9F%BF#.E9.A1.B9.E7.9B.AE.E4.BF.A1.E6.81.AF,Operating,1.2,2001,ROM,0.89,Estimated,0.45,Estimated,0.45,Estimated,0.42,Estimated,0.42,Estimated,0.42,Estimated,-,
