Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
M0001,Shadashak Coal Mine, ,Afghanistan,coal,Operating,35.863255,67.596674,Approximate,North Coal Enterprise (NCE),North Coal Enterprise (NCE) [100%],1.1,Underground,,494.0,Bituminous,Met,24.1,0.16080603,0.1804912,0.24306396,0.290798,0.33817527,0.34612122,0.35375485,0.35303146,0.33958697,0.31919202,0.25351918,0.21127595
M0002,Airly Coal Mine, ,Australia,coal,Operating,-33.1130709,150.0149367,Exact,Centennial Coal Company Pty Ltd,Banpu PCL [100.0%],1.17,Underground,40,500.0,Bituminous,Thermal,25.8,0.09833208,0.11207513,0.0990199,0.086488634,0.076544754,0.075288735,0.059924968,0.084645115,0.09314968,0.08425708,0.111616984,0.11868593
M0004,Angus Place Coal Mine, ,Australia,coal,Cancelled,-33.349157,150.199019,Exact,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],Banpu PCL [100.0%],,Underground,104.6,500.0,Subbituminous,Thermal,21.6,0.110231474,0.09855151,0.11995302,0.10804568,0.09512806,0.090025574,0.091708496,0.10710484,0.119828224,0.10642406,0.07372036,0.14322256
M0004,Angus Place Coal Mine, ,Australia,coal,Mothballed,-33.351985,150.099356,Exact,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],Banpu PCL [100.0%],0,Underground,,550.0,Subbituminous,Thermal,0.0,0.09519549,0.08321827,0.099039175,0.07167072,0.07512164,0.07218611,0.058130108,0.08457707,0.09514735,0.089477584,0.059621245,0.11278632
M0005,Appin Coal Mine, ,Australia,coal,Operating,-34.211194,150.792736,Exact,Illawarra Coal,South32 Ltd [100.0%],3.9,Underground,,550.0,Bituminous,Met,89.2,0.06383703,0.069620706,0.047700692,0.057014596,0.052725334,0.050613992,0.055352412,0.062911764,0.06823931,0.06017055,0.08239162,0.03989178
M0006,Aquila Coal Mine, ,Australia,coal,Operating,-22.9816055,148.5373229,Exact,Capcoal,Anglo American PLC [70.0%]; Mitsui & Co Ltd [30.0%],3.45,Underground,,175.0,Bituminous,Met,43.0,0.19444372,0.1310972,0.17413656,0.16575517,0.15792406,0.15365449,0.15170276,0.17180648,0.1989317,0.21090089,0.22319266,0.15426913
M0007,Ashton Coal Mine, ,Australia,coal,Operating,-32.468942,151.078493,Exact,Ashton Coal Operations,Yancoal Australia Ltd [100.0%],0.9,Underground & Surface,3.15,200.0,Bituminous,Met,12.4,0.17517918,0.11437284,0.124474466,0.12369034,0.13251984,0.13230465,0.12541622,0.13891481,0.13896805,0.1550986,0.16432047,0.16939834
M0007,Ashton Coal Mine, ,Australia,coal,Cancelled,-32.468942,151.078493,Exact,Ashton Coal Operations,Yancoal Australia Ltd [100.0%],,Surface,,60.0,Bituminous,Thermal & Met,12.6,0.17517918,0.11437284,0.124474466,0.12369034,0.13251984,0.13230465,0.12541622,0.13891481,0.13896805,0.1550986,0.16432047,0.16939834
M0008,Baralaba Coal Mine, ,Australia,coal,Operating,-24.13680401,149.7936125,Exact,Baralaba Coal Co,AMCI Group [100.0%],1.571,Surface,,60.0,Bituminous,Thermal & Met,8.2,0.19029798,0.17982973,0.18001771,0.18893437,0.18281552,0.18215027,0.18372034,0.20642352,0.2414139,0.2618431,0.2414456,0.22162259
M0008,Baralaba Coal Mine, ,Australia,coal,Proposed,-24.15411438,149.8027197,Exact,Baralaba Coal Co,AMCI Group [100.0%],,Surface,22,60.0,Bituminous,Thermal & Met,10.5,0.19026043,0.15499406,0.18901266,0.19812763,0.19183233,0.1913271,0.19312076,0.21898402,0.2539129,0.2699356,0.26005504,0.24163368
M0009,Belview Coal Mine, ,Australia,coal,Shelved,-23.587132,148.977385,Exact,Stanmore Resources Ltd,Stanmore Resources Ltd [100%],,Underground,,500.0,Bituminous,Met,57.4,0.23311803,0.20077471,0.20217502,0.20923293,0.19955435,0.1926565,0.18639202,0.20187204,0.18783724,0.24605256,0.18012157,0.22749561
M0010,Bengalla Coal Mine, ,Australia,coal,Operating,-32.268076,150.84,Exact,Bengalla Mining Company,New Hope Group [80.0%]; Taiwan Power Co [20.0%],11.7,Surface,12,270.0,Subbituminous,Thermal,54.4,0.19934674,0.1330221,0.157075,0.14457509,0.14349683,0.11036109,0.1588241,0.16878225,0.13357657,0.18906187,0.14645123,0.20005128
M0011,Blackwater Coal Mine, ,Australia,coal,Operating,-23.685585,148.807361,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],14.288,Surface,210,60.0,Bituminous,Thermal & Met,75.0,0.21060438,0.12390989,0.19090925,0.19475833,0.18143257,0.17480399,0.17043892,0.19195506,0.21737868,0.22578825,0.1741006,0.16459326
M0012,Blair Athol Coal Mine, ,Australia,coal,Operating,-22.703221,147.54353,Exact,Orion Mining,TerraCom Ltd [100.0%],2.782,Surface,,50.0,Subbituminous,Thermal,3.3,0.17969276,0.11939457,0.14612046,0.13339914,0.12103237,0.117673755,0.12011422,0.13453639,0.16219354,0.1837152,0.20240743,0.18694675
M0013,Bloomfield Coal Mine, ,Australia,coal,Operating,-32.7928986,151.5841947,Exact,Bloomfield Collieries Pty Limited,Bloomfield Group [100.0%],0.52,Surface,,60.0,Bituminous,Thermal & Met,2.7,0.09423499,0.10119312,0.08859251,0.086079344,0.083320916,0.08576223,0.07973425,0.09629914,0.09287757,0.09760031,0.09592899,0.101438574
M0014,Boggabri Coal Mine, ,Australia,coal,Operating,-30.6116182,150.1550389,Exact,Boggabri Coal Operations,Idemitsu Kosan Co Ltd [100.0%],5.7,Surface,20.56,60.0,Bituminous,Thermal & Met,29.9,0.2223086,0.14307436,0.18335694,0.16646792,0.17167763,0.16066086,0.15449032,0.15757497,0.16320029,0.15382823,0.2165892,0.19848658
