country,sensor,date,validation,1,2,3,4,5,6,7,8,9,10,11,12
Kuwait,Sentinel-5P/TROPOMI - ESA,21/04/2019,1,2,2,2,2,2,1,1,2,2,2,2,2
Saudi Arabia,Sentinel-5P/TROPOMI - ESA,12/01/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,03/05/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Canada,Sentinel-5P/TROPOMI - ESA,10/03/2019,0,0,1,1,1,1,1,1,2,2,1,1,0
Iraq,Sentinel-5P/TROPOMI - ESA,22/02/2023,1,2,2,2,2,2,1,1,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,23/11/2023,1,1,2,2,2,2,2,1,0,2,2,2,2
Syria,Sentinel-5P/TROPOMI - ESA,21/12/2019,1,2,2,2,2,2,1,1,1,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,11/01/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,10/04/2023,1,0,1,2,2,2,2,2,2,1,2,1,0
USA,Sentinel-5P/TROPOMI - ESA,13/11/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,03/05/2019,1,2,2,2,2,2,2,1,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,03/08/2023,1,0,0,1,1,2,1,2,2,2,1,0,0
China,Sentinel-5P/TROPOMI - ESA,02/04/2023,1,2,2,2,2,2,2,1,2,2,2,2,2
Saudi Arabia,Sentinel-5P/TROPOMI - ESA,10/11/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Iraq,Sentinel-5P/TROPOMI - ESA,21/01/2023,1,2,2,2,2,2,1,1,1,1,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,01/07/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Canada,Sentinel-5P/TROPOMI - ESA,10/02/2019,0,0,1,2,2,1,1,1,2,2,2,1,0
USA,Sentinel-5P/TROPOMI - ESA,29/10/2022,1,1,2,2,1,2,2,2,1,1,2,2,0
Saudi Arabia,Sentinel-5P/TROPOMI - ESA,17/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Kuwait,Sentinel-5P/TROPOMI - ESA,03/06/2020,0,2,2,2,2,2,1,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,29/02/2020,0,0,0,2,2,1,1,2,2,1,0,0,0
Kuwait,Sentinel-5P/TROPOMI - ESA,15/09/2020,1,2,2,2,2,2,1,2,2,2,2,2,2
Mexico,Sentinel-5P/TROPOMI - ESA,03/02/2020,0,1,1,2,2,2,2,2,2,2,2,1,2
Russia,Sentinel-5P/TROPOMI - ESA,29/08/2022,1,0,0,1,2,2,1,2,2,1,1,0,0
USA,Sentinel-5P/TROPOMI - ESA,23/06/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,01/01/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,25/09/2020,1,1,2,2,2,2,2,2,2,2,2,1,1
Libya,Sentinel-5P/TROPOMI - ESA,23/09/2023,1,2,2,2,2,2,2,1,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,14/09/2022,1,0,2,1,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,13/01/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,12/06/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,01/02/2022,1,1,2,2,2,2,2,2,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,22/09/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,20/05/2021,1,2,2,2,1,2,2,2,2,2,2,2,2
Spain,Sentinel-5P/TROPOMI - ESA,24/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,08/09/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Uzbekistan,Sentinel-5P/TROPOMI - ESA,31/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Spain,Sentinel-5P/TROPOMI - ESA,25/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,09/08/2021,1,1,2,2,2,2,2,2,2,2,2,1,1
Spain,Sentinel-5P/TROPOMI - ESA,18/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,10/06/2022,1,2,1,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,01/02/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,28/09/2021,1,0,2,2,2,2,2,2,2,2,1,2,0
Oman,Sentinel-5P/TROPOMI - ESA,22/12/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,28/11/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,15/12/2023,1,2,2,2,2,2,2,1,0,1,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,02/02/2023,1,1,2,2,2,2,2,2,2,2,2,1,1
Bulgaria,Sentinel-5P/TROPOMI - ESA,17/02/2020,1,2,2,2,2,2,2,2,2,2,2,2,1
Uzbekistan,Sentinel-5P/TROPOMI - ESA,28/10/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,10/01/2020,0,0,1,2,2,2,2,2,2,1,0,1,0
Mexico,Sentinel-5P/TROPOMI - ESA,03/12/2023,1,1,1,2,2,2,2,2,2,2,2,1,2
Russia,Sentinel-5P/TROPOMI - ESA,09/07/2023,1,0,0,1,2,2,1,2,1,1,1,0,0
Kazakhstan,Sentinel-5P/TROPOMI - ESA,29/03/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Uzbekistan,Sentinel-5P/TROPOMI - ESA,27/03/2023,1,1,1,2,2,2,2,2,2,2,2,2,0
Iraq,Sentinel-5P/TROPOMI - ESA,11/09/2023,1,2,2,2,2,2,1,1,1,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,23/02/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Ukraine,Sentinel-5P/TROPOMI - ESA,31/03/2019,1,1,1,2,2,2,2,2,2,2,2,1,0
