Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
M0001,Shadashak Coal Mine, ,Afghanistan,coal,Operating,35.863255,67.596674,Approximate,North Coal Enterprise (NCE),North Coal Enterprise (NCE) [100%],1.1,Underground,,494.0,Bituminous,Met,24.1,0.68888015,0.63249075,0.45629472,0.63969445,0.5863611,0.7969904,0.77496475,0.8137516,0.91697127,0.7194433,0.6777426,0.60963726
M0002,Airly Coal Mine, ,Australia,coal,Operating,-33.1130709,150.0149367,Exact,Centennial Coal Company Pty Ltd,Banpu PCL [100.0%],1.17,Underground,40,500.0,Bituminous,Thermal,25.8,0.45923388,0.3886703,0.37506688,0.55156803,0.5973382,0.35704362,0.42275035,0.6218346,0.5343789,0.3903685,0.37456745,0.4371747
M0004,Angus Place Coal Mine, ,Australia,coal,Cancelled,-33.349157,150.199019,Exact,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],Banpu PCL [100.0%],,Underground,104.6,500.0,Subbituminous,Thermal,21.6,0.42008662,0.32051474,0.30900908,0.48647678,0.5963066,0.38410348,0.53866184,0.60194063,0.5352809,0.39374024,0.27406895,0.41549656
M0004,Angus Place Coal Mine, ,Australia,coal,Mothballed,-33.351985,150.099356,Exact,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],Banpu PCL [100.0%],0,Underground,,550.0,Subbituminous,Thermal,0.0,0.4089001,0.34100294,0.3230918,0.45011604,0.56698334,0.35282856,0.40901095,0.58085316,0.5140733,0.40148488,0.2804695,0.42353293
M0005,Appin Coal Mine, ,Australia,coal,Operating,-34.211194,150.792736,Exact,Illawarra Coal,South32 Ltd [100.0%],3.9,Underground,,550.0,Bituminous,Met,89.2,0.37583673,0.3257979,0.3461559,0.5409148,0.60271925,0.53875184,0.62651855,0.67352045,0.5982165,0.40109235,0.29488182,0.31098583
M0006,Aquila Coal Mine, ,Australia,coal,Operating,-22.9816055,148.5373229,Exact,Capcoal,Anglo American PLC [70.0%]; Mitsui & Co Ltd [30.0%],3.45,Underground,,175.0,Bituminous,Met,43.0,0.44659624,0.38029402,0.6485862,0.6379758,0.7016325,0.62133527,0.74725133,0.8013243,0.6547458,0.7378269,0.61148447,0.40951425
M0007,Ashton Coal Mine, ,Australia,coal,Operating,-32.468942,151.078493,Exact,Ashton Coal Operations,Yancoal Australia Ltd [100.0%],0.9,Underground & Surface,3.15,200.0,Bituminous,Met,12.4,0.4297368,0.255807,0.3930239,0.591466,0.60018134,0.44307688,0.6103695,0.60729855,0.5548115,0.46858072,0.44215277,0.48351264
M0007,Ashton Coal Mine, ,Australia,coal,Cancelled,-32.468942,151.078493,Exact,Ashton Coal Operations,Yancoal Australia Ltd [100.0%],,Surface,,60.0,Bituminous,Thermal & Met,12.6,0.4297368,0.255807,0.3930239,0.591466,0.60018134,0.44307688,0.6103695,0.60729855,0.5548115,0.46858072,0.44215277,0.48351264
M0008,Baralaba Coal Mine, ,Australia,coal,Operating,-24.13680401,149.7936125,Exact,Baralaba Coal Co,AMCI Group [100.0%],1.571,Surface,,60.0,Bituminous,Thermal & Met,8.2,0.40534556,0.5224457,0.5282823,0.61562544,0.6831734,0.6812241,0.6696812,0.766643,0.6378946,0.62762004,0.50211793,0.58100516
M0008,Baralaba Coal Mine, ,Australia,coal,Proposed,-24.15411438,149.8027197,Exact,Baralaba Coal Co,AMCI Group [100.0%],,Surface,22,60.0,Bituminous,Thermal & Met,10.5,0.40831834,0.50592494,0.5229109,0.6484037,0.66551185,0.70183426,0.67580926,0.7505253,0.6479376,0.60173285,0.4896255,0.5996608
M0009,Belview Coal Mine, ,Australia,coal,Shelved,-23.587132,148.977385,Exact,Stanmore Resources Ltd,Stanmore Resources Ltd [100%],,Underground,,500.0,Bituminous,Met,57.4,0.4348476,0.5066638,0.60550624,0.706233,0.66700566,0.6752656,0.6959098,0.7690642,0.6140766,0.70719343,0.5089046,0.4347775
M0010,Bengalla Coal Mine, ,Australia,coal,Operating,-32.268076,150.84,Exact,Bengalla Mining Company,New Hope Group [80.0%]; Taiwan Power Co [20.0%],11.7,Surface,12,270.0,Subbituminous,Thermal,54.4,0.44204038,0.31721303,0.39250708,0.50561637,0.59338486,0.37609598,0.48175853,0.5545773,0.6171111,0.3828078,0.41046745,0.4510988
