Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
M0001,Shadashak Coal Mine, ,Afghanistan,coal,Operating,35.863255,67.596674,Approximate,North Coal Enterprise (NCE),North Coal Enterprise (NCE) [100%],1.1,Underground,,494.0,Bituminous,Met,24.1,58.29524,52.47874,42.295273,30.270578,19.769735,13.593021,13.454683,19.485975,29.88434,41.91111,52.326447,58.260414
M0002,Airly Coal Mine, ,Australia,coal,Operating,-33.1130709,150.0149367,Exact,Centennial Coal Company Pty Ltd,Banpu PCL [100.0%],1.17,Underground,40,500.0,Bituminous,Thermal,25.8,10.704762,16.52126,26.704725,38.729424,49.230267,55.40698,55.54532,49.514023,39.11566,27.08889,16.673552,10.739588
M0004,Angus Place Coal Mine, ,Australia,coal,Cancelled,-33.349157,150.199019,Exact,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],Banpu PCL [100.0%],,Underground,104.6,500.0,Subbituminous,Thermal,21.6,10.904762,16.72126,26.904726,38.92942,49.430264,55.60698,55.745316,49.714024,39.31566,27.28889,16.873552,10.939588
M0004,Angus Place Coal Mine, ,Australia,coal,Mothballed,-33.351985,150.099356,Exact,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],Banpu PCL [100.0%],0,Underground,,550.0,Subbituminous,Thermal,0.0,11.004762,16.82126,27.004725,39.029423,49.530266,55.706978,55.845318,49.814022,39.41566,27.388891,16.97355,11.039587
M0005,Appin Coal Mine, ,Australia,coal,Operating,-34.211194,150.792736,Exact,Illawarra Coal,South32 Ltd [100.0%],3.9,Underground,,550.0,Bituminous,Met,89.2,11.804762,17.62126,27.804726,39.829422,50.330265,56.506977,56.645317,50.614025,40.21566,28.18889,17.773552,11.839587
M0006,Aquila Coal Mine, ,Australia,coal,Operating,-22.9816055,148.5373229,Exact,Capcoal,Anglo American PLC [70.0%]; Mitsui & Co Ltd [30.0%],3.45,Underground,,175.0,Bituminous,Met,43.0,0.8322523,6.42126,16.604725,28.629421,39.130264,45.30698,45.445316,39.414024,29.01566,16.98889,6.5735517,0.8453274
M0007,Ashton Coal Mine, ,Australia,coal,Operating,-32.468942,151.078493,Exact,Ashton Coal Operations,Yancoal Australia Ltd [100.0%],0.9,Underground & Surface,3.15,200.0,Bituminous,Met,12.4,10.104762,15.92126,26.104725,38.12942,48.630264,54.80698,54.945316,48.914024,38.51566,26.48889,16.073551,10.139587
M0007,Ashton Coal Mine, ,Australia,coal,Cancelled,-32.468942,151.078493,Exact,Ashton Coal Operations,Yancoal Australia Ltd [100.0%],,Surface,,60.0,Bituminous,Thermal & Met,12.6,10.104762,15.92126,26.104725,38.12942,48.630264,54.80698,54.945316,48.914024,38.51566,26.48889,16.073551,10.139587
M0008,Baralaba Coal Mine, ,Australia,coal,Operating,-24.13680401,149.7936125,Exact,Baralaba Coal Co,AMCI Group [100.0%],1.571,Surface,,60.0,Bituminous,Thermal & Met,8.2,1.704762,7.52126,17.704725,29.729422,40.230267,46.40698,46.54532,40.514023,30.11566,18.08889,7.6735516,1.7395874
M0008,Baralaba Coal Mine, ,Australia,coal,Proposed,-24.15411438,149.8027197,Exact,Baralaba Coal Co,AMCI Group [100.0%],,Surface,22,60.0,Bituminous,Thermal & Met,10.5,1.804762,7.6212597,17.804726,29.829422,40.330265,46.506977,46.645317,40.614025,30.21566,18.18889,7.773552,1.8395875
