Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
M0001,Shadashak Coal Mine, ,Afghanistan,coal,Operating,35.863255,67.596674,Approximate,North Coal Enterprise (NCE),North Coal Enterprise (NCE) [100%],1.1,Underground,,494.0,Bituminous,Met,24.1,1.9016657,1.8233886,1.1407478,0.54458845,0.39596605,0.6548634,0.6954601,0.46852863,0.21991558,0.34466213,1.0647527,1.3459345
M0002,Airly Coal Mine, ,Australia,coal,Operating,-33.1130709,150.0149367,Exact,Centennial Coal Company Pty Ltd,Banpu PCL [100.0%],1.17,Underground,40,500.0,Bituminous,Thermal,25.8,1.092593,1.0830642,0.9893704,0.7774836,1.0067005,1.3448948,1.3893235,1.5193261,0.7922504,0.5668003,0.4168768,0.40810075
M0004,Angus Place Coal Mine, ,Australia,coal,Cancelled,-33.349157,150.199019,Exact,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],Banpu PCL [100.0%],,Underground,104.6,500.0,Subbituminous,Thermal,21.6,0.955485,0.9381626,0.9266481,0.8013896,1.2166041,1.6342504,1.6115459,1.7604325,1.0278115,0.7309672,0.44311342,0.36091086
M0004,Angus Place Coal Mine, ,Australia,coal,Mothballed,-33.351985,150.099356,Exact,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],Banpu PCL [100.0%],0,Underground,,550.0,Subbituminous,Thermal,0.0,0.977144,0.9409585,0.9500873,0.8112251,1.2127473,1.6614128,1.6262493,1.8258226,1.0766877,0.78488636,0.52284473,0.30388612
M0005,Appin Coal Mine, ,Australia,coal,Operating,-34.211194,150.792736,Exact,Illawarra Coal,South32 Ltd [100.0%],3.9,Underground,,550.0,Bituminous,Met,89.2,1.0824807,1.1111164,1.0373609,0.91385543,1.6944447,2.0136483,2.0027652,1.6538663,0.87319297,0.5542728,0.5773106,0.8261041
M0006,Aquila Coal Mine, ,Australia,coal,Operating,-22.9816055,148.5373229,Exact,Capcoal,Anglo American PLC [70.0%]; Mitsui & Co Ltd [30.0%],3.45,Underground,,175.0,Bituminous,Met,43.0,2.3200042,1.7347869,1.8529701,1.8380977,1.6597735,1.4236977,1.3210763,1.1052984,1.7906629,1.5468067,1.80055,1.9908514
M0007,Ashton Coal Mine, ,Australia,coal,Operating,-32.468942,151.078493,Exact,Ashton Coal Operations,Yancoal Australia Ltd [100.0%],0.9,Underground & Surface,3.15,200.0,Bituminous,Met,12.4,1.3876818,1.3262402,1.01259,0.61784136,0.9224749,1.6069078,1.3727471,1.5772223,0.73946756,0.43884647,0.53266335,0.75787127
M0007,Ashton Coal Mine, ,Australia,coal,Cancelled,-32.468942,151.078493,Exact,Ashton Coal Operations,Yancoal Australia Ltd [100.0%],,Surface,,60.0,Bituminous,Thermal & Met,12.6,1.3876818,1.3262402,1.01259,0.61784136,0.9224749,1.6069078,1.3727471,1.5772223,0.73946756,0.43884647,0.53266335,0.75787127
M0008,Baralaba Coal Mine, ,Australia,coal,Operating,-24.13680401,149.7936125,Exact,Baralaba Coal Co,AMCI Group [100.0%],1.571,Surface,,60.0,Bituminous,Thermal & Met,8.2,1.7590047,1.3909338,1.3492502,1.3895019,1.600958,1.235052,1.2748299,0.6665774,1.1755092,1.4678662,1.6039755,1.5142912
M0008,Baralaba Coal Mine, ,Australia,coal,Proposed,-24.15411438,149.8027197,Exact,Baralaba Coal Co,AMCI Group [100.0%],,Surface,22,60.0,Bituminous,Thermal & Met,10.5,1.7302618,1.3708167,1.3203231,1.3838032,1.5931579,1.2373476,1.2634653,0.6604451,1.1514006,1.4414368,1.5907494,1.4871159
M0009,Belview Coal Mine, ,Australia,coal,Shelved,-23.587132,148.977385,Exact,Stanmore Resources Ltd,Stanmore Resources Ltd [100%],,Underground,,500.0,Bituminous,Met,57.4,2.2479827,1.7567127,1.7958289,1.8053864,1.7234339,1.4487287,1.4110552,1.1126112,1.7232237,1.542169,1.8084669,1.953523
M0010,Bengalla Coal Mine, ,Australia,coal,Operating,-32.268076,150.84,Exact,Bengalla Mining Company,New Hope Group [80.0%]; Taiwan Power Co [20.0%],11.7,Surface,12,270.0,Subbituminous,Thermal,54.4,1.4447596,1.40205,1.1512145,0.6667891,0.7417605,1.3423223,1.176759,1.4439105,0.6851857,0.38739163,0.5896617,0.80188364
M0011,Blackwater Coal Mine, ,Australia,coal,Operating,-23.685585,148.807361,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],14.288,Surface,210,60.0,Bituminous,Thermal & Met,75.0,2.1396384,1.6399553,1.6563929,1.6911908,1.7813607,1.4602123,1.4811819,1.0927764,1.6850888,1.5990314,1.8609622,1.8586235
M0012,Blair Athol Coal Mine, ,Australia,coal,Operating,-22.703221,147.54353,Exact,Orion Mining,TerraCom Ltd [100.0%],2.782,Surface,,50.0,Subbituminous,Thermal,3.3,2.236736,1.597584,1.8265121,2.0715406,2.1058748,1.7296429,1.6919479,1.2724434,1.7978466,1.2433221,1.6160496,1.8683966
M0013,Bloomfield Coal Mine, ,Australia,coal,Operating,-32.7928986,151.5841947,Exact,Bloomfield Collieries Pty Limited,Bloomfield Group [100.0%],0.52,Surface,,60.0,Bituminous,Thermal & Met,2.7,1.5591639,1.5245025,1.1603835,0.5863946,1.291312,1.9256212,1.7406652,1.5367754,0.4779045,0.44075426,0.5853674,1.0928144
M0014,Boggabri Coal Mine, ,Australia,coal,Operating,-30.6116182,150.1550389,Exact,Boggabri Coal Operations,Idemitsu Kosan Co Ltd [100.0%],5.7,Surface,20.56,60.0,Bituminous,Thermal & Met,29.9,0.9344028,1.0573645,0.9165039,0.7402654,0.39776924,0.51589644,0.4912123,0.69363654,0.4889109,0.5307797,0.5530351,0.6418956
M0014,Boggabri Coal Mine, ,Australia,coal,Proposed,-30.6116182,150.1550389,Approximate,Boggabri Coal Operations,Idemitsu Kosan Co Ltd [100.0%],,Surface,,60.0,Bituminous,Thermal & Met,2.6,0.9344028,1.0573645,0.9165039,0.7402654,0.39776924,0.51589644,0.4912123,0.69363654,0.4889109,0.5307797,0.5530351,0.6418956
M0016,Broadmeadow Coal Mine, ,Australia,coal,Operating,-21.8025693,147.98,Exact,BM Alliance Coal Operations Pty Ltd,BHP [50.0%]; Mitsubishi Corp [50.0%],8.395,Underground,,500.0,Bituminous,Met,185.4,2.7922459,1.9987984,2.3241827,2.691042,2.4871786,2.1811001,2.0388796,1.7890004,2.4425738,1.850256,2.064616,2.3110664
