Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
M0001,Shadashak Coal Mine, ,Afghanistan,coal,Operating,35.863255,67.596674,Approximate,North Coal Enterprise (NCE),North Coal Enterprise (NCE) [100%],1.1,Underground,,494.0,Bituminous,Met,24.1,0,0,0,0,0,0,0,0,0,0,0,0
M0002,Airly Coal Mine, ,Australia,coal,Operating,-33.1130709,150.0149367,Exact,Centennial Coal Company Pty Ltd,Banpu PCL [100.0%],1.17,Underground,40,500.0,Bituminous,Thermal,25.8,0,0,0,0,0,0,0,0,0,0,0,0
M0004,Angus Place Coal Mine, ,Australia,coal,Cancelled,-33.349157,150.199019,Exact,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],Banpu PCL [100.0%],,Underground,104.6,500.0,Subbituminous,Thermal,21.6,0,0,0,0,0,0,0,0,0,0,0,0
M0004,Angus Place Coal Mine, ,Australia,coal,Mothballed,-33.351985,150.099356,Exact,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],Banpu PCL [100.0%],0,Underground,,550.0,Subbituminous,Thermal,0.0,0,0,0,0,0,0,0,0,0,0,0,0
M0005,Appin Coal Mine, ,Australia,coal,Operating,-34.211194,150.792736,Exact,Illawarra Coal,South32 Ltd [100.0%],3.9,Underground,,550.0,Bituminous,Met,89.2,0,0,0,0,0,0,0,0,0,0,0,0
M0006,Aquila Coal Mine, ,Australia,coal,Operating,-22.9816055,148.5373229,Exact,Capcoal,Anglo American PLC [70.0%]; Mitsui & Co Ltd [30.0%],3.45,Underground,,175.0,Bituminous,Met,43.0,0,0,0,0,0,0,0,0,0,0,0,0
M0007,Ashton Coal Mine, ,Australia,coal,Operating,-32.468942,151.078493,Exact,Ashton Coal Operations,Yancoal Australia Ltd [100.0%],0.9,Underground & Surface,3.15,200.0,Bituminous,Met,12.4,0,0,0,0,0,0,0,0,0,0,0,0
M0007,Ashton Coal Mine, ,Australia,coal,Cancelled,-32.468942,151.078493,Exact,Ashton Coal Operations,Yancoal Australia Ltd [100.0%],,Surface,,60.0,Bituminous,Thermal & Met,12.6,0,0,0,0,0,0,0,0,0,0,0,0
M0008,Baralaba Coal Mine, ,Australia,coal,Operating,-24.13680401,149.7936125,Exact,Baralaba Coal Co,AMCI Group [100.0%],1.571,Surface,,60.0,Bituminous,Thermal & Met,8.2,0,0,0,0,0,0,0,0,0,0,0,0
M0008,Baralaba Coal Mine, ,Australia,coal,Proposed,-24.15411438,149.8027197,Exact,Baralaba Coal Co,AMCI Group [100.0%],,Surface,22,60.0,Bituminous,Thermal & Met,10.5,0,0,0,0,0,0,0,0,0,0,0,0
M0009,Belview Coal Mine, ,Australia,coal,Shelved,-23.587132,148.977385,Exact,Stanmore Resources Ltd,Stanmore Resources Ltd [100%],,Underground,,500.0,Bituminous,Met,57.4,0,0,0,0,0,0,0,0,0,0,0,0
M0010,Bengalla Coal Mine, ,Australia,coal,Operating,-32.268076,150.84,Exact,Bengalla Mining Company,New Hope Group [80.0%]; Taiwan Power Co [20.0%],11.7,Surface,12,270.0,Subbituminous,Thermal,54.4,0,0,0,0,0,0,0,0,0,0,0,0
M0011,Blackwater Coal Mine, ,Australia,coal,Operating,-23.685585,148.807361,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],14.288,Surface,210,60.0,Bituminous,Thermal & Met,75.0,0,0,0,0,0,0,0,0,0,0,0,0
M0012,Blair Athol Coal Mine, ,Australia,coal,Operating,-22.703221,147.54353,Exact,Orion Mining,TerraCom Ltd [100.0%],2.782,Surface,,50.0,Subbituminous,Thermal,3.3,0,0,0,0,0,0,0,0,0,0,0,0
M0013,Bloomfield Coal Mine, ,Australia,coal,Operating,-32.7928986,151.5841947,Exact,Bloomfield Collieries Pty Limited,Bloomfield Group [100.0%],0.52,Surface,,60.0,Bituminous,Thermal & Met,2.7,0,0,0,0,0,0,0,0,0,0,0,0
M0014,Boggabri Coal Mine, ,Australia,coal,Operating,-30.6116182,150.1550389,Exact,Boggabri Coal Operations,Idemitsu Kosan Co Ltd [100.0%],5.7,Surface,20.56,60.0,Bituminous,Thermal & Met,29.9,0,0,0,0,0,0,0,0,0,0,0,0
M0014,Boggabri Coal Mine, ,Australia,coal,Proposed,-30.6116182,150.1550389,Approximate,Boggabri Coal Operations,Idemitsu Kosan Co Ltd [100.0%],,Surface,,60.0,Bituminous,Thermal & Met,2.6,0,0,0,0,0,0,0,0,0,0,0,0
M0016,Broadmeadow Coal Mine, ,Australia,coal,Operating,-21.8025693,147.98,Exact,BM Alliance Coal Operations Pty Ltd,BHP [50.0%]; Mitsubishi Corp [50.0%],8.395,Underground,,500.0,Bituminous,Met,185.4,0,0,0,0,0,0,0,0,0,0,0,0
M0017,Bulga Coal Mine, ,Australia,coal,Proposed,-32.6795434,151.1000279,Exact,Bulga Coal Management [BCM],Glencore PLC [72.6%]; ENEOS Australia Pty Ltd [13.3%]; Nippon Steel Corp [12.5%],,Surface,0.2,90.0,Bituminous,Thermal,,0,0,0,0,0,0,0,0,0,0,0,0
M0017,Bulga Coal Mine, ,Australia,coal,Operating,-32.6795434,151.1000279,Exact,Bulga Coal Management [BCM],Glencore PLC [72.6%]; ENEOS Australia Pty Ltd [13.3%]; Nippon Steel Corp [12.5%],6.35,Underground & Surface,55,60.0,Bituminous,Thermal & Met,33.3,0,0,0,0,0,0,0,0,0,0,0,0
M0018,Byerwen Coal Mine, ,Australia,coal,Operating,-21.242828,147.835392,Exact,Byerwen Coal,QCoal [85.0%]; JFE Holdings Inc [15.0%],6.197,Surface,69.97,60.0,Bituminous,Thermal & Met,32.5,0,0,0,0,0,0,0,0,0,0,0,0
M0019,Callide Coal Mine, ,Australia,coal,Operating,-24.310921,150.622173,Exact,Batchfire Resources,Batchfire Resources [100%],7.593,Surface,176,50.0,Subbituminous,Thermal,9.1,0,0,0,0,0,0,0,0,0,0,0,0
M0020,Cameby Downs Coal Mine, ,Australia,coal,Proposed,-26.6540316,150.3354945,Exact,Syntech Resources,Shandong Energy Group Co Ltd [70.0%]; Shandong Guohui Investment Co Ltd [20.0%]; Shandong Caixin Asset Operation Co Ltd [10.0%],,Surface,79.11,50.0,Subbituminous,Thermal,3.6,0,0,0,0,0,0,0,0,0,0,0,0
M0020,Cameby Downs Coal Mine, ,Australia,coal,Operating,-26.6181915,150.3548193,Exact,Syntech Resources,Shandong Energy Group Co Ltd [70.0%]; Shandong Guohui Investment Co Ltd [20.0%]; Shandong Caixin Asset Operation Co Ltd [10.0%],2.86,Surface,,60.0,Bituminous,Thermal,15.0,0,0,0,0,0,0,0,0,0,0,0,0
M0021,CapCoal Mine Complex, ,Australia,coal,Operating,-22.990997,148.580506,Exact,Capcoal,Anglo American PLC [70.0%]; Mitsui & Co Ltd [30.0%],8.403,Underground & Surface,340,60.0,Bituminous,Thermal & Met,44.1,0,0,0,0,0,0,0,0,0,0,0,0
M0022,Carborough Downs Coal Mine, ,Australia,coal,Operating,-21.9502,148.2094,Exact,Fitzroy Australia Resources Pty Ltd,American Metals & Coal International Inc [50.0%]; ITOCHU Corp [50.0%],2.823,Underground,,500.0,Bituminous,Thermal & Met,62.3,0,0,0,0,0,0,0,0,0,0,0,0
M0022,Carborough Downs Coal Mine, ,Australia,coal,Proposed,-21.9502,148.2094,Exact,Fitzroy Australia Resources Pty Ltd,American Metals & Coal International Inc [50.0%]; ITOCHU Corp [50.0%],,Underground,,500.0,Bituminous,Met,55.2,0,0,0,0,0,0,0,0,0,0,0,0
M0023,Carmichael Coal Project, ,Australia,coal,Operating,-22.073611,146.329722,Approximate,Adani Mining Pty Ltd,Adani Enterprises Ltd [100.0%],2.794,Underground & Surface,447,300.0,Subbituminous,Thermal,14.8,0,0,0,0,0,0,0,0,0,0,0,0
M0023,Carmichael Coal Project, ,Australia,coal,Proposed,-22.073611,146.329722,Approximate,Adani Mining Pty Ltd,Adani Enterprises Ltd [100.0%],,Underground & Surface,447,60.0,Subbituminous,Thermal,43.2,0,0,0,0,0,0,0,0,0,0,0,0
M0023,Carmichael Coal Project, ,Australia,coal,Proposed,-22.073611,146.329722,Approximate,Adani Mining Pty Ltd,Adani Enterprises Ltd [100.0%],,Underground & Surface,447,400.0,Subbituminous,Thermal,115.2,0,0,0,0,0,0,0,0,0,0,0,0
M0024,Caval Ridge Coal Mine, ,Australia,coal,Operating,-22.1056069,148.0475444,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],14.894,Surface,14,60.0,Bituminous,Met,78.2,0,0,0,0,0,0,0,0,0,0,0,0
M0024,Caval Ridge Coal Mine, ,Australia,coal,Proposed,-22.1056069,148.0475444,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],,Surface,14,60.0,Bituminous,Met,78.8,0,0,0,0,0,0,0,0,0,0,0,0
M0025,Central Queensland Coal Mine, ,Australia,coal,Cancelled,-22.679446,149.659662,Exact,Central Queensland Coal Pty Ltd,Mineralogy Pty Ltd [100.0%],,Surface,,60.0,Bituminous,Thermal & Met,10.5,0,0,0,0,0,0,0,0,0,0,0,0
M0026,Clarence Colliery, ,Australia,coal,Operating,-33.4597,150.2479,Exact,Centennial Coal - Clarence Joint Venture,Banpu PCL [85.0%]; SK Energy [15.0%],1.42,Underground,,500.0,Bituminous,Thermal,31.4,0,0,0,0,0,0,0,0,0,0,0,0
M0027,Clermont Coal Mine, ,Australia,coal,Operating,-22.7201075,147.6195648,Exact,Clermont Coal Operations Pty Limited,Glencore PLC [37.1%]; Sumitomo Corp [37.1%]; J-Power Australia Pty Ltd [22.2%],10.85,Surface,163.07,60.0,Bituminous,Thermal,57.0,0,0,0,0,0,0,0,0,0,0,0,0
M0028,Collinsville Coal Mine, ,Australia,coal,Operating,-20.5567302,147.8148229,Exact,NC Coal Company Pty Ltd,Glencore PLC [100.0%],3.583,Surface,,60.0,Bituminous,Thermal & Met,18.8,0,0,0,0,0,0,0,0,0,0,0,0
M0029,Commodore Coal Mine, ,Australia,coal,Operating,-27.9343501,151.2554422,Exact,Downer EDI,Downer EDI Ltd [100%],3.507,Surface,,60.0,Bituminous,Thermal,18.4,0,0,0,0,0,0,0,0,0,0,0,0
M0029,Commodore Coal Mine, ,Australia,coal,Proposed,-27.9343501,151.2554422,Exact,Downer EDI,Downer EDI Ltd [100%],,Surface,,60.0,Bituminous,Thermal,2.1,0,0,0,0,0,0,0,0,0,0,0,0
