country code,year,total coal (MT),metallurgical coal (MT)
ABW,1991,0.0,0.0
ABW,1992,0.0,0.0
ABW,1993,0.0,0.0
ABW,1994,0.0,0.0
ABW,1995,0.0,0.0
ABW,1996,0.0,0.0
ABW,1997,0.0,0.0
ABW,1998,0.0,0.0
ABW,1999,0.0,0.0
ABW,2000,0.0,0.0
ABW,2001,0.0,0.0
ABW,2002,0.0,0.0
ABW,2003,0.0,0.0
ABW,2004,0.0,0.0
ABW,2005,0.0,0.0
ABW,2006,0.0,0.0
ABW,2007,0.0,0.0
ABW,2008,0.0,0.0
ABW,2009,0.0,0.0
ABW,2010,0.0,0.0
ABW,2011,0.0,0.0
ABW,2012,0.0,0.0
ABW,2013,0.0,0.0
ABW,2014,0.0,0.0
ABW,2015,0.0,0.0
ABW,2016,0.0,0.0
ABW,2017,0.0,0.0
ABW,2018,0.0,0.0
ABW,2019,0.0,0.0
ABW,2020,0.0,0.0
ABW,2021,0.0,0.0
ABW,2022,0.0,0.0
ABW,2023,0.0,0.0
AFG,1991,0.0940000061444598,0.0
AFG,1992,0.007999999557842601,0.0
AFG,1993,0.0070000007470932,0.0
AFG,1994,0.0060000019363438,0.0
AFG,1995,0.005000003125594401,0.0
AFG,1996,0.0029999964322482,0.0
AFG,1997,0.0019999976214988,0.0
AFG,1998,0.0019999976214988,0.0
AFG,1999,0.0009999988107494,0.0
AFG,2000,0.0009999988107494,0.0
AFG,2001,0.026000005366874,0.0
AFG,2002,0.0210000022412796,0.0
AFG,2003,0.035000003735466,0.0
AFG,2004,0.0340000049247166,0.0
AFG,2005,0.032999997042119804,0.0
AFG,2006,0.035000003735466,0.0
AFG,2007,0.2430000103830684,0.0
AFG,2008,0.3470000137068696,0.0
AFG,2009,0.5000000222603231,0.0
AFG,2010,0.7466550101529857,0.0
AFG,2011,1.2138125055280131,0.0
AFG,2012,1.7175774173675966,0.0
AFG,2013,1.8394666824105426,0.0
AFG,2014,2.354829939513751,0.0
AFG,2015,2.061826447968744,0.0
AFG,2016,2.2858223576571244,0.0
AFG,2017,2.069731818051712,0.0
AFG,2018,2.8387222819367786,0.0
AFG,2019,3.01131212709239,0.0
AFG,2020,1.7711833903674992,0.0
AFG,2021,2.688735653415708,0.0
AFG,2022,4.88517703313105,0.0
AFG,2023,0.7666438031818686,0.0
AGO,1991,0.0,0.0
AGO,1992,0.0,0.0
AGO,1993,0.0,0.0
AGO,1994,0.0,0.0
AGO,1995,0.0,0.0
AGO,1996,0.0,0.0
AGO,1997,0.0,0.0
AGO,1998,0.0,0.0
AGO,1999,0.0,0.0
AGO,2000,0.0,0.0
AGO,2001,0.0,0.0
AGO,2002,0.0,0.0
AGO,2003,0.0,0.0
AGO,2004,0.0,0.0
AGO,2005,0.0,0.0
AGO,2006,0.0,0.0
AGO,2007,0.0,0.0
AGO,2008,0.0,0.0
AGO,2009,0.0,0.0
AGO,2010,0.0,0.0
AGO,2011,0.0,0.0
AGO,2012,0.0,0.0
AGO,2013,0.0,0.0
AGO,2014,0.0,0.0
AGO,2015,0.0,0.0
AGO,2016,0.0,0.0
AGO,2017,0.0,0.0
AGO,2018,0.0,0.0
AGO,2019,0.0,0.0
AGO,2020,0.0,0.0
AGO,2021,0.0,0.0
AGO,2022,0.0,0.0
AGO,2023,0.0,0.0
ALB,1991,1.086998707284598,0.0
ALB,1992,0.3659995647342804,0.0
ALB,1993,0.2139997455003716,0.0
ALB,1994,0.1689997990166486,0.0
ALB,1995,0.079999904859952,0.0
ALB,1996,0.1129998656146822,0.0
ALB,1997,0.038999953619226604,0.0
ALB,1998,0.0489999417267206,0.0
ALB,1999,0.0489999417267206,0.0
ALB,2000,0.029999964322482,0.0
ALB,2001,0.0209999750257374,0.0
ALB,2002,0.014999982161241,0.0
ALB,2003,0.0579999310234652,0.0
ALB,2004,0.0579999310234652,0.0
ALB,2005,0.044999946483723,0.0
ALB,2006,0.044999946483723,0.0
ALB,2007,0.044999946483723,0.0
ALB,2008,0.0609999274557134,0.0
ALB,2009,0.009999988107494,0.0
ALB,2010,0.009999988107494,0.0
ALB,2011,0.004999994053747,0.0
ALB,2012,0.0069999916752458,0.0
ALB,2013,0.0089999892967446,0.0
ALB,2014,0.0166499788382004,0.0
ALB,2015,0.0242999683796562,0.0
ALB,2016,0.0139999833504916,0.0
ALB,2017,0.0459999452944724,0.0
ALB,2018,0.0979998834534412,0.0
ALB,2019,0.12171843713323141,0.0
ALB,2020,0.1269998489651738,0.0
ALB,2021,0.2407487136891073,0.0
ALB,2022,0.37851954984486286,0.0
ALB,2023,0.472868437640258,0.0
ARE,1991,0.0,0.0
ARE,1992,0.0,0.0
ARE,1993,0.0,0.0
ARE,1994,0.0,0.0
ARE,1995,0.0,0.0
ARE,1996,0.0,0.0
ARE,1997,0.0,0.0
