REGION,COUNTRY,EMISSIONS__KT,SOURCE,TYPE,SEGMENT,REASON,BASE_YEAR,EMISSIONS_RANK,ENERGY_RANK,NOTES,COUNTRY_CODE
Africa,Ethiopia,0.28,IEA,Energy,Other from coal,All,2022,15.0,23.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",ETH
Africa,Mozambique,61.85,IEA,Energy,Coking coal,All,2024,64.0,46.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",MOZ
Africa,Mozambique,0.0,IEA,Energy,Other from coal,All,2022-2024,64.0,46.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",MOZ
Africa,Mozambique,51.92,IEA,Energy,Steam coal,All,2024,64.0,46.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",MOZ
Africa,South Africa,14.9,IEA,Energy,Coking coal,All,2024,23.0,20.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",ZAF
Africa,South Africa,38.31,IEA,Energy,Other from coal,All,2022-2024,23.0,20.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",ZAF
Africa,South Africa,1311.62,IEA,Energy,Steam coal,All,2024,23.0,20.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",ZAF
Africa,Tanzania,0.19,IEA,Energy,Other from coal,All,2022,31.0,37.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",TZA
Asia Pacific,Australia,867.05,IEA,Energy,Coking coal,All,2024,13.0,13.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",AUS
Asia Pacific,Australia,5.46,IEA,Energy,Other from coal,All,2022-2024,13.0,13.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",AUS
Asia Pacific,Australia,784.86,IEA,Energy,Steam coal,All,2024,13.0,13.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",AUS
Asia Pacific,China,5450.21,IEA,Energy,Coking coal,All,2024,1.0,1.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",CHN
Asia Pacific,China,677.91,IEA,Energy,Other from coal,All,2022-2024,1.0,1.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",CHN
Asia Pacific,China,13040.79,IEA,Energy,Steam coal,All,2024,1.0,1.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",CHN
Asia Pacific,India,243.85,IEA,Energy,Coking coal,All,2024,3.0,4.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",IND
Asia Pacific,India,102.56,IEA,Energy,Other from coal,All,2022-2024,3.0,4.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",IND
Asia Pacific,India,1681.66,IEA,Energy,Steam coal,All,2024,3.0,4.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",IND
Asia Pacific,Indonesia,49.82,IEA,Energy,Coking coal,All,2024,7.0,7.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",IDN
Asia Pacific,Indonesia,14.79,IEA,Energy,Other from coal,All,2022-2024,7.0,7.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",IDN
Asia Pacific,Indonesia,2336.82,IEA,Energy,Steam coal,All,2024,7.0,7.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",IDN
Asia Pacific,Japan,7.25,IEA,Energy,Other from coal,All,2022-2024,39.0,56.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",JPN
Asia Pacific,Japan,1.1,IEA,Energy,Steam coal,All,2024,39.0,56.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",JPN
Asia Pacific,Mongolia,376.22,IEA,Energy,Coking coal,All,2024,47.0,39.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",MNG
Asia Pacific,Mongolia,8.49,IEA,Energy,Other from coal,All,2022-2024,47.0,39.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",MNG
Asia Pacific,Mongolia,142.09,IEA,Energy,Steam coal,All,2024,47.0,39.0,"Estimates from end-uses (Bioenergy, Other from oil and gas, Other from coal) are for 2022 or 2023 (IEA, Greenhouse gas emissions from energy, 2024, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",MNG
