year,emissions
1985,63.96
1986,17.1
1988,1025.5800000000002
1989,368.22
1990,21376.97
1991,26962.47025
1992,26438.12701
1993,25100.8374
1994,24464.8336
1995,24228.6882
1996,24125.1332
1997,24221.834
1998,23417.609
1999,23053.535
2000,24313.172
2001,24416.939599999998
2002,24006.985500000003
2003,25821.5256
2004,27279.8907
2005,28829.1054
2006,30389.4978
2007,32283.7612
2008,37059.8875
2009,38007.577
2010,42378.439000000006
2011,45545.216
2012,46633.333999999995
2013,49182.545000000006
2014,45711.044
2015,45217.137
2016,43838.645
2017,35751.917
2018,36939.405
2019,37423.915
2020,34235.062
2021,34293.231
2022,34439.137
2023,35526.85323
2024,125841.29
2025,122133.60999999999
2026,122841.26000000001
2027,122956.75
