year,emissions,source
1985,63.96,UNFCCC
1986,17.1,UNFCCC
1988,1025.5800000000002,UNFCCC
1989,368.22,UNFCCC
1990,21376.97,UNFCCC
1991,26962.47025,UNFCCC
1992,26438.12701,UNFCCC
1993,25100.837400000004,UNFCCC
1994,24464.8336,UNFCCC
1995,24228.6882,UNFCCC
1996,24125.1332,UNFCCC
1997,24221.834000000003,UNFCCC
1998,23417.608999999997,UNFCCC
1999,23053.535,UNFCCC
2000,24313.172,UNFCCC
2001,24416.939599999998,UNFCCC
2002,24006.985500000003,UNFCCC
2003,25821.5256,UNFCCC
2004,27279.8907,UNFCCC
2005,28829.1054,UNFCCC
2006,30389.4978,UNFCCC
2007,32283.7612,UNFCCC
2008,37059.887500000004,UNFCCC
2009,38007.577,UNFCCC
2010,42378.439000000006,UNFCCC
2011,45545.216,UNFCCC
2012,46633.334,UNFCCC
2013,49182.545000000006,UNFCCC
2014,45711.044,UNFCCC
2015,45217.137,UNFCCC
2016,43838.645,UNFCCC
2017,35751.917,UNFCCC
2018,36939.405,UNFCCC
2019,37423.915,UNFCCC
2020,34235.062,UNFCCC
2021,34293.231,UNFCCC
2022,34439.137,UNFCCC
2023,35526.85323,UNFCCC
2024,55690.0,GEM
2024,35689.270000000004,IEA
2024,34462.02,IEA-UNFCCC
2025,53653.02,IEA-GEM
2025,34027.85,IEA-IEA
2025,34452.74,IEA-UNFCCC
2026,53898.90000000001,IEA-GEM
2026,34266.89,IEA-IEA
2026,34675.47,IEA-UNFCCC
2027,53988.56,IEA-GEM
2027,34109.41,IEA-IEA
2027,34858.78,IEA-UNFCCC
