COUNTRY,NUM_COAL_MINES,NUM_LIGNITE_MINES,NUM_INFRA_WITH_AT_LEAST_1_PLUME,Coal mines with at least one plume attributed,Lignite coal mines where methane won't be detected,Coal mines with no attributed plumes
Australia,207,1,20.0,9.66183574879227,0.4830917874396135,90.33816425120773
Botswana,4,0,1.0,25.0,0.0,75.0
Canada,45,1,3.0,6.666666666666667,2.2222222222222223,93.33333333333333
China,2334,76,137.0,5.869751499571551,3.2562125107112254,94.13024850042845
Colombia,14,0,3.0,21.428571428571427,0.0,78.57142857142857
India,546,78,4.0,0.7326007326007326,14.285714285714285,99.26739926739927
Iran,6,0,1.0,16.666666666666664,0.0,83.33333333333334
Kazakhstan,27,3,6.0,22.22222222222222,11.11111111111111,77.77777777777777
Mexico,5,0,1.0,20.0,0.0,80.0
Mozambique,10,0,1.0,10.0,0.0,90.0
Poland,28,6,8.0,28.57142857142857,21.428571428571427,71.42857142857143
Russia,254,33,27.0,10.62992125984252,12.992125984251967,89.37007874015748
South Africa,137,0,2.0,1.4598540145985401,0.0,98.54014598540147
Ukraine,43,0,6.0,13.953488372093023,0.0,86.04651162790698
United States,714,16,42.0,5.88235294117647,2.2408963585434174,94.11764705882354
Uzbekistan,7,3,1.0,14.285714285714285,42.857142857142854,85.71428571428572
