GEM_MINE_ID,EPA,EMAIL_SENT,MSHA_ID,COUNTRY,MINE_NAME,MINE_NAME_AKAS,MINE_NAME__NONENG,GEM_WIKI_URLS,STATUS,STATUS_DETAIL,PROJECT_TYPE,PROJECT_PHASE,OWNERS,OWNERS__NONENG,PARENT_COMPANY,COMPANY_HQS,CAPACITY__MTPA,PRODUCTION__MTPA,YEAR_OF_PRODUCTION,COAL_OUTPUT__ANNUAL_MST,MINE_TYPE,MINING_METHOD,MINE_SIZE__KM2,MINE_DEPTH__M,DEPTH_ACCURACY,WORKFORCE_SIZE,WORKFORCE_ACCURACY,COAL_TYPE,COAL_GRADE,TOTAL_RESERVES__PROVEN_AND_PROBABLE_MT,YEAR_OF_TOTAL_RESERVES_RECORDED,TOTAL_RESOURCE__INFERRED_INDICATED_MEASURED,RESERVE_TO_PRODUCTION_RATIO__RP,OPENING_YEAR,REPORTED_LIFE_OF_MINE,COALFIELD,LOCATION,PREFECTURE_DISTRICT,STATE_PROVINCE,SUBREGION,REGION,LATITUDE,LONGITUDE,LOCATION_ACCURACY,PRIMARY_CONSUMER_DESTINATION,COAL_PLANT_STEEL_PLANT_TERMINAL,COAL_PLANT_STEEL_PLANT_TERMINAL_GEM_WIKI,REPORTED_COAL_MINE_METHANE_EMISSIONS__THOUSAND_TONNES__CO2E,YEAR_OF_REPORTED_COAL_MINE_METHANE_EMISSIONS,GEM_COAL_MINE_METHANE_EMISSIONS_ESTIMATE__MCMYR,GEM_COAL_MINE_METHANE_EMISSIONS_ESTIMATE__M_TONNESYR,CMM_EMISSIONS__CO2E_20_YEARS,CMM_EMISSIONS__CO2E_100_YEARS,UPV_,SRON,GEM_FIRST_50_MINES,DATA_INTEGRATION_MINES,TOP_5_MINES,NOTES,YEAR_OF_COAL_OUTPUT,COAL_OUTPUT__ANNUAL_MT_REF,PERCENTAGE_OF_MET_COAL,PERCENTAGE_OF_THERMAL_COAL,MET_COAL_OUTPUT__MTPA,THERMAL_COAL_OUTPUT__MTPA,PERCENTAGE_REF,ACCURACY_RATING,MINE_BOUNDARIES_DELIVERY_DATE,POINT_SOURCE_LOCATION_DELIVERY_DATE,COMPANIES_AND_COUNTRIES_DELIVERY_DATE,MARS_DATA_DELIVERY_DATE,SCIENCE_STUDIES_DELIVERY_DATE,DATA_INTEGRATION_DELIVERY_DATE
M0001,,,,Afghanistan,Shadashak Coal Mine,,,https://www.gem.wiki/Shadashak_Coal_Mine,Operating,,,,North Coal Enterprise (NCE),-,North Coal Enterprise (NCE) [100%],Afghanistan,*,1.1,,,Underground,-,-,494,Estimate,703,Estimate,Bituminous,Met,-,-,-,-,"1,967",-,,Shabashak,Dar-l-Suf,Samangan,Southern Asia,Asia,35.86,67.6,Approximate,,,,,,24.1,0.02,1.3,0.5,,,,,,,,,,,,,,,,,,,,
M0002,,,,Australia,Airly Coal Mine,,,https://www.gem.wiki/Airly_Mine,Operating,,,,Centennial Coal Company Pty Ltd,-,Banpu PCL [100.0%],"Australia, Thailand",1.8,1.17,"2,022",,Underground,-,40,500,Estimate,155,Exact,Bituminous,Thermal,32,-,85,27,"2,009",25,Western,Capertee,,New South Wales,Australia and New Zealand,Oceania,-33.11,150.01,Exact,Coal Plant,Mount Piper power station,https://www.gem.wiki/Mount_Piper_power_station,0.03,"2,022",25.8,0.02,1.4,0.5,,,,,,,,,,,,,,,,,,,,
M0004,,,,Australia,Angus Place Coal Mine,Angus Place Mine Extension Project (MPMEP),,https://www.gem.wiki/Angus_Place_Colliery,Cancelled,Announced,Expansion,,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],-,Banpu PCL [100.0%],Thailand,3,*,,,Underground,-,104.6,500,Estimate,270,Exact,Subbituminous,Thermal,54,-,-,18,-,-,Western,Lithgow,,New South Wales,Australia and New Zealand,Oceania,-33.35,150.2,Exact,,,,,,21.6,0.01,1.2,0.4,,,,,,,,,,,,,,,,,,,,
M0004,,,,Australia,Angus Place Coal Mine,,,https://www.gem.wiki/Angus_Place_Colliery,Mothballed,Care and Maintenance,,,Centennial Springvale Pty Ltd [50%]; Boulder Mining Pty Ltd [50%],-,Banpu PCL [100.0%],Thailand,4,0,,,Underground,-,-,550,Exact,280,Exact,Subbituminous,Thermal,27,-,-,-,-,4,Western,Lithgow,,New South Wales,Australia and New Zealand,Oceania,-33.35,150.1,Exact,,,,0.54,"2,022",0,0,0,0,,,,,,,,,,,,,,,,,,,,
M0005,,,,Australia,Appin Coal Mine,"West Cliff, Tower Colliery, Appin North, Appin East, Appin West, BSO Project",,https://www.gem.wiki/Appin_mine,Operating,,,,Illawarra Coal,-,South32 Ltd [100.0%],Australia,*,3.9,"2,022",,Underground,Longwall,-,550,Exact,875,Exact,Bituminous,Met,113,-,774,29,"1,962",19,Southern,Appin,,New South Wales,Australia and New Zealand,Oceania,-34.21,150.79,Exact,Terminal (Export),Port Kembla Coal Terminal,https://www.gem.wiki/Port_Kembla_Coal_Terminal,,,89.2,0.06,4.9,1.8,,,,,,,,,,,,,,,,,4-Mar,,,
M0006,,,,Australia,Aquila Coal Mine,,,https://www.gem.wiki/Aquila_Mine,Operating,,,,Capcoal,-,Anglo American PLC [70.0%]; Mitsui & Co Ltd [30.0%],"Australia, UK, Japan",*,3.45,"2,022",,Underground,Longwall,-,175,Exact,573,Estimate,Bituminous,Met,30,"2,022",42,9,"2,005",5,Bowen,Bundoora,,Queensland,Australia and New Zealand,Oceania,-22.98,148.54,Exact,,,,,,43,0.03,2.4,0.9,,,,,,,,,,,,,,,,,4-Mar,,,
M0007,,,,Australia,Ashton Coal Mine,Ashton South East,,https://www.gem.wiki/Ashton_Coal_Mine,Cancelled,Permitted,Expansion,,Ashton Coal Operations,-,Yancoal Australia Ltd [100.0%],"Australia, China",2.4,*,,,Surface,Open Pit,-,60,Estimate,160,Exact,Bituminous,Thermal & Met,-,-,-,-,"2,026",7,Hunter,Singleton,,New South Wales,Australia and New Zealand,Oceania,-32.47,151.08,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,12.6,0.01,0.7,0.3,,,,,,,,,,,,,,,,,,,,
M0007,,,,Australia,Ashton Coal Mine,Watagan,,https://www.gem.wiki/Ashton_Coal_Mine,Operating,,,,Ashton Coal Operations,-,Yancoal Australia Ltd [100.0%],"Australia, China",*,0.9,"2,022",,Underground & Surface,Mixed,3.15,200,Exact,315,Exact,Bituminous,Met,24,-,268,27,"2,004",9,Hunter,Singleton,,New South Wales,Australia and New Zealand,Oceania,-32.47,151.08,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,596.24,"2,022",12.4,0.01,0.7,0.2,,,,,,,,,,,,,,,,,4-Mar,,,
M0008,,,,Australia,Baralaba Coal Mine,"Baralaba South, BSP",,https://www.gem.wiki/Baralaba_coal_mine,Proposed,Pre-Permit,Extension,,Baralaba Coal Co,-,AMCI Group [100.0%],USA,2,*,,,Surface,Open Pit,22,60,Estimate,875,Exact,Bituminous,Thermal & Met,79,-,166,40,"2,028",19,Bowen,Baralaba,,Queensland,Australia and New Zealand,Oceania,-24.15,149.8,Exact,,,,,,10.5,0.01,0.6,0.2,,,,,,,,,,,,,,,,,,,,
M0008,,,,Australia,Baralaba Coal Mine,Baralaba North,,https://www.gem.wiki/Baralaba_coal_mine,Operating,,,,Baralaba Coal Co,-,AMCI Group [100.0%],USA,2,1.57,"2,022",,Surface,Open Pit,-,60,Estimate,400,Exact,Bituminous,Thermal & Met,33,"2,016",166,21,"2,005",-,Bowen,,,Queensland,Australia and New Zealand,Oceania,-24.14,149.79,Exact,Terminal (Export),Port of Gladstone,https://www.gem.wiki/Port_of_Gladstone,110.13,"2,022",8.2,0.01,0.5,0.2,,,,,,,,,,,,,,,,,4-Mar,,,
M0009,,,,Australia,Belview Coal Mine,,,https://www.gem.wiki/Belview_coal_project,Shelved,Exploration,New,,Stanmore Resources Ltd,-,Stanmore Resources Ltd [100%],Singapore,2.6,*,,,Underground,-,-,500,Estimate,-,-,Bituminous,Met,-,-,330,-,"2,027",-,,Blackwater,,Queensland,Australia and New Zealand,Oceania,-23.59,148.98,Exact,Terminal (Export),Port of Gladstone,https://www.gem.wiki/Port_of_Gladstone,,,57.4,0.04,3.2,1.1,,,,,,,,,,,,,,,,,,,,
